Riemenschneider,krn_file,cap_file,xml_file
1,chor001.krn,001 Aus meines Herzens Grunde.mscx,001/short_score.mxl
2,chor002.krn,"002 Ich danke dir, lieber Herre.mscx",002/short_score.mxl
3,chor003.krn,"003 Ach Gott, vom Himmel sieh darein.mscx",003/short_score.mxl
4,chor004.krn,004 Es ist das Heil uns kommen her.mscx,004/short_score.mxl
5,chor005.krn,005 An Wasserflüssen Babylon.mscx,005/short_score.mxl
6,chor006.krn,"007 Christus, der ist mein Leben.mscx",006/short_score.mxl
7,chor007.krn,"006 Nun lob, mein Seel, den Herren.mscx",007/short_score.mxl
8,chor008.krn,"008 Freuet euch, ihr Christen alle.mscx",008/short_score.mxl
9,chor009.krn,"009 Ermuntre dich, mein schwacher Geist.mscx",009/short_score.mxl
10,chor010.krn,010 Aus tiefer Not schrei ich zu dir.mscx,010/short_score.mxl
11,chor011.krn,"011 Jesu, nun sei gepreiset.mscx",011/short_score.mxl
12,chor012.krn,012 Puer natus in Bethlehem.mscx,012/short_score.mxl
13,chor013.krn,"013 Allein zu dir, Herr Jesu Christ.mscx",013/short_score.mxl
14,chor014.krn,"014 O Herre Gott, dein göttlich Wort.mscx",014/short_score.mxl
15,chor015.krn,015 Christ lag in Todesbanden.mscx,015/short_score.mxl
16,chor016.krn,016 Es woll uns Gott genädig sein.mscx,016/short_score.mxl
17,chor017.krn,017 Erschienen ist der herrliche Tag.mscx,017/short_score.mxl
18,chor018.krn,018 Gottes Sohn ist kommen.mscx,018/short_score.mxl
19,chor019.krn,019 Ich hab mein Sach Gott heimgestellt.mscx,019/short_score.mxl
20,chor020.krn,020 Ein feste Burg ist unser Gott.mscx,020/short_score.mxl
21,chor021.krn,021 Herzlich tut mich verlangen.mscx,021/short_score.mxl
22,chor022.krn,"022 Schmücke dich, o liebe Seele.mscx",022/short_score.mxl
23,chor023.krn,023 Zeuch ein zu deinen Toren.mscx,023/short_score.mxl
24,chor024.krn,024 Valet will ich dir geben.mscx,024/short_score.mxl
25,chor025.krn,025 Wo soll ich fliehen hin.mscx,025/short_score.mxl
26,chor026.krn,"026 O Ewigkeit, du Donnerwort.mscx",026/short_score.mxl
27,chor027.krn,027 Es spricht der Unweisen Mund wohl.mscx,027/short_score.mxl
28,chor028.krn,"028 Nun komm, der Heiden Heiland.mscx",028/short_score.mxl
29,chor029.krn,"029 Freu dich sehr, o meine Seele.mscx",029/short_score.mxl
30,chor030.krn,"030 Jesus Christus, unser Heiland.mscx",030/short_score.mxl
31,chor031.krn,"031 Ach lieben Christen, seid getrost.mscx",031/short_score.mxl
32,chor032.krn,032 Nun danket alle Gott.mscx,032/short_score.mxl
33,chor033.krn,"035 Herr, ich habe mißgehandelt.mscx",033/short_score.mxl
34,chor034.krn,"033 Erbarm dich mein, o Herre Gott.mscx",034/short_score.mxl
35,chor035.krn,034 Gott des Himmels und der Erden.mscx,035/short_score.mxl
36,chor036.krn,036 Nun bitten wir den heiligen Geist.mscx,036/short_score.mxl
37,chor037.krn,"037 Jesu, der du meine Seele.mscx",037/short_score.mxl
38,chor038.krn,038 Straf mich nicht in deinem Zorn.mscx,038/short_score.mxl
39,chor039.krn,"039 Ach, was soll ich Sünder machen.mscx",039/short_score.mxl
40,chor040.krn,040 Ach Gott und Herr.mscx,040/short_score.mxl
41,chor041.krn,"041 Was mein Gott will, das gescheh allzeit.mscx",041/short_score.mxl
42,chor042.krn,"042 Du Friedefürst, Herr Jesu Christ.mscx",042/short_score.mxl
43,chor043.krn,"043 Liebster Gott, wenn werd ich sterben.mscx",043/short_score.mxl
44,chor044.krn,"044 Machs mit mir Gott, nach deiner Güt.mscx",044/short_score.mxl
45,chor045.krn,"046 Kommt her zu mir, spricht Gottes Sohn.mscx",045/short_score.mxl
46,chor046.krn,"045 Vom Himmel hoch, da komm ich her.mscx",046/short_score.mxl
47,chor047.krn,047 Vater unser im Himmelreich.mscx,047/short_score.mxl
48,chor048.krn,"048 Ach wie nichtig, ach wie flüchtig.mscx",048/short_score.mxl
49,chor049.krn,049 Mit Fried und Freud ich fahr dahin.mscx,049/short_score.mxl
50,chor050.krn,,050/short_score.mxl
51,chor051.krn,"053 Gelobet seist du, Jesu Christ.mscx",051/short_score.mxl
52,chor052.krn,051 Wenn mein Stündlein vorhanden ist.mscx,052/short_score.mxl
53,chor053.krn,052 Das neugeborne Kindelein.mscx,053/short_score.mxl
54,chor054.krn,"054 Lobt Gott, ihr Christen allzugleich.mscx",054/short_score.mxl
55,chor055.krn,057 Wir Christenleut.mscx,055/short_score.mxl
56,chor056.krn,055 Christum wir sollen loben schon.mscx,056/short_score.mxl
57,chor057.krn,"060 O Traurigkeit, o Herzeleid.mscx",057/short_score.mxl
58,chor058.krn,"056 Herzlich lieb hab ich dich, o Herr.mscx",058/short_score.mxl
59,chor059.krn,,059/short_score.mxl
60,chor060.krn,061 Ich freue mich in dir.mscx,060/short_score.mxl
61,chor061.krn,"059 Jesu Leiden, Pein und Tod.mscx",061/short_score.mxl
62,chor062.krn,066 Wer nur den lieben Gott läßt walten.mscx,062/short_score.mxl
63,chor063.krn,062 Nun ruhen alle Wälder.mscx,063/short_score.mxl
64,chor064.krn,"063 Freu dich sehr, o meine Seele.mscx",064/short_score.mxl
65,chor065.krn,"064 Was Gott tut, das ist wohlgetan.mscx",065/short_score.mxl
66,chor066.krn,065 Christ unser Herr zum Jordan kam.mscx,066/short_score.mxl
67,chor067.krn,"067 Freu dich sehr, o meine Seele.mscx",067/short_score.mxl
68,chor068.krn,068 Wenn wir in höchsten Nöten sein.mscx,068/short_score.mxl
69,chor069.krn,"069 Komm, heiliger Geist, Herre Gott.mscx",069/short_score.mxl
70,chor070.krn,070 Gott sei gelobet und gebenedeiet.mscx,070/short_score.mxl
71,chor071.krn,"071 Ich ruf zu dir, Herr Jesu Christ.mscx",071/short_score.mxl
72,chor072.krn,"072 Erhalt uns, Herr, bei deinem Wort.mscx",072/short_score.mxl
73,chor073.krn,"073 Herr Jesu Christ, du höchstes Gut.mscx",073/short_score.mxl
74,chor074.krn,074 O Haupt voll Blut und Wunden.mscx,074/short_score.mxl
75,chor075.krn,075 Das walt mein Gott.mscx,075/short_score.mxl
76,chor076.krn,"076 Freu dich sehr, o meine Seele.mscx",076/short_score.mxl
77,chor077.krn,"077 In dich hab ich gehoffet, Herr.mscx",077/short_score.mxl
78,chor078.krn,"078 Herzliebster Jesu, was hast du verbrochen.mscx",078/short_score.mxl
79,chor079.krn,079 Heut triumphieret Gottes Sohn.mscx,079/short_score.mxl
80,chor080.krn,087 O Haupt voll Blut und Wunden.mscx,080/short_score.mxl
81,chor081.krn,"080 Christus, der uns selig macht.mscx",081/short_score.mxl
82,chor082.krn,081 O großer Gott von Macht.mscx,082/short_score.mxl
83,chor083.krn,"082 Jesu Leiden, Pein und Tod.mscx",083/short_score.mxl
