file,sort,available,pdf,bwv,title,bwv1,bwv2,mode
kern/chor001.krn,001,Y,chor001,269,Aus meines Herzens Grunde,269,,
kern/chor002.krn,002,Y,chor002,347,"Ich dank dir, lieber Herre",347,,
kern/chor003.krn,003,Y,chor003,153.1,Ach Gott vom Himmel sieh darein,153,1,Dorian
kern/chor004.krn,004,Y,chor004,86.6,Es ist das Heil uns kommen her,86,6,
kern/chor005.krn,005,Y,chor005,267,An Wasserflüssen Babylon,267,,
kern/chor006.krn,006,Y,chor006,281,"Christus, der ist mein Leben",281,,
kern/chor007.krn,007,Y,chor007,17.7,"Nun lob, mein Seel, den Herren",17,7,
kern/chor008.krn,008,Y,chor008,40.8,"Freuet euch, ihr Christen alle",40,8,Dorian
kern/chor009.krn,009,Y,chor009,248.12,"Ermuntre dich, mein schwacher Geist",248,12,
kern/chor010.krn,010,Y,chor010,38.6,Aus tiefer Not schrei ich zu dir,38,6,
kern/chor011.krn,011,Y,chor011,41.6,"Jesu, nun sei gepreiset",41,6,
kern/chor012.krn,012,Y,chor012,65.2,Puer natus in Bethlehem,65,2,
kern/chor013.krn,013,Y,chor013,33.6,"Allein zu dir, Herr Jesu Christ",33,6,
kern/chor014.krn,014,Y,chor014,185.5,"O Herre Gott, dein göttlich Wort",185,5,
kern/chor015.krn,015,Y,chor015,277,Christ lag in Todesbanden,277,,Dorian
kern/chor016.krn,016,Y,chor016,311,Es woll' uns Gott genädig sein,311,,Phrygian
kern/chor017.krn,017,Y,chor017,145.5,Erschienen ist der herrliche Tag,145,5,Dorian
kern/chor018.krn,018,Y,chor018,318,Gottes Sohn ist kommen,318,,
kern/chor019.krn,019,Y,chor019,351,Ich hab mein Sach Gott heimgestellt,351,,Dorian
kern/chor020.krn,020,Y,chor020,302,Ein feste Burg ist unser Gott,302,,
kern/chor021.krn,021,Y,chor021,153.5,Herzlich tut mich verlangen,153,5,Phrygian
kern/chor022.krn,022,Y,chor022,180.7,"Schmücke dich, o liebe Seele",180,7,
kern/chor023.krn,023,Y,chor023,28.6,Zeuch ein zu deinen Toren,28,6,
kern/chor024.krn,024,Y,chor024,415,Valet will ich dir geben,415,,
kern/chor025.krn,025,Y,chor025,148.6,Wo soll ich fliehen hin,148,6,Dorian
kern/chor026.krn,026,Y,chor026,20.7,"O Ewigkeit, du Donnerwort",20,7,
kern/chor027.krn,027,Y,chor027,308,Es spricht der Unweisen Mund,308,,
kern/chor028.krn,028,Y,chor028,36,"Nun komm, der Heiden Heiland",36,,
kern/chor029.krn,029,Y,chor029,32.6,"Freu dich sehr, o meine Seele",32,6,
kern/chor030.krn,030,Y,chor030,363,"Jesus Christus, unser Heiland",363,,
kern/chor031.krn,031,Y,chor031,256,"Ach lieben Christen, seid getrost",256,,
kern/chor032.krn,032,Y,chor032,386,Nun danket alle Gott,386,,
kern/chor033.krn,033,Y,chor033,330,"Herr, ich habe mißgehandelt",330,,
kern/chor034.krn,034,Y,chor034,305,"Erbarm dich mein, o Herre Gott",305,,Phrygian
kern/chor035.krn,035,Y,chor035,248.53,Gott des Himmels und der Erden,248,53,
kern/chor036.krn,036,Y,chor036,385,Nun bitten wir den heiligen Geist,385,,
kern/chor037.krn,037,Y,chor037,352,"Jesu, der du meine Seele",352,,
kern/chor038.krn,038,Y,chor038,115.6,Straf mich nicht in deinem Zorn,115,6,
kern/chor039.krn,039,Y,chor039,259,"Ach, was soll ich Sünder machen?",259,,
kern/chor040.krn,040,Y,chor040,255,Ach Gott und Herr,255,,
kern/chor041.krn,041,Y,chor041,65.7,"Was mein Gott will, das g'scheh allzeit",65,7,
kern/chor042.krn,042,Y,chor042,67.7,"Du Friedefürst, Herr Jesu Christ",67,7,
kern/chor043.krn,043,Y,chor043,8.6,"Liebester Gott, wann werd ich sterben",8,6,
kern/chor044.krn,044,Y,chor044,377,"Mach's mit mir, Gott, nach deiner Güt",377,,
kern/chor045.krn,045,Y,chor045,108.6,"Kommt her zu mir, spricht",108,6,
kern/chor046.krn,046,Y,chor046,248.9,"Vom Himmel hoch, da komm ich her",248,9,
kern/chor047.krn,047,Y,chor047,245.5,Vater unser im Himmelreich,245,5,
kern/chor048.krn,048,Y,chor048,26.6,"Ach wie flüchtig, ach wie nichtig",26,6,
kern/chor049.krn,049,Y,chor049,382,Mit Fried und Freud ich fahr dahin,382,,Dorian
kern/chor050.krn,050,Y,chor050,244.37,In allen meinen Taten,244,37,
kern/chor051.krn,051,Y,.,91.6,"Gelobet seist du, Jesu Christ",91,6,Mixolydian
kern/chor052.krn,052,Y,.,429,Wenn mein Stündlein vorhanden ist,429,,
kern/chor053.krn,053,Y,.,122.6,Das neugeborne Kindelein,122,6,
kern/chor054.krn,054,Y,.,151.5,"Lobt Gott, ihr Christen allzugleich",151,5,
kern/chor055.krn,055,Y,.,110.7,Wir Christenleut,110,7,
kern/chor056.krn,056,Y,.,121.6,Christum wir sollen loben schon,121,6,Phrygian
kern/chor057.krn,057,Y,.,404,"O Traurigkeit, o Herzeleid",404,,
kern/chor058.krn,058,Y,.,174.5,"Herzlich lieb hab ich dich, o Herr",174,5,
kern/chor059.krn,059,Y,.,245.3,"Herzliebster Jesu, was hast du verbrochen",245,3,
kern/chor060.krn,060,Y,.,133.6,Ich freue mich in dir,133,6,
kern/chor061.krn,061,Y,.,159.5,"Jesu Leiden, Pein und Tod",159,5,
kern/chor062.krn,062,Y,.,197.10,Wer nur den lieben Gott läßt walten,197,10,
kern/chor063.krn,063,Y,.,245.11,Nun ruhen alle Wälder,245,11,
kern/chor064.krn,064,Y,.,194.6,"Freu dich sehr, o meine Seele",194,6,
kern/chor065.krn,065,Y,.,144.3,"Was Gott tut, das ist wohlgetan",144,3,
kern/chor066.krn,066,Y,.,280,"Christ, unser Herr zum Jordan kam",280,,
kern/chor067.krn,067,Y,.,39.7,"Freu dich sehr, o meine Seele",39,7,
kern/chor068.krn,068,Y,.,431,Wenn wir in höchsten Nöten sein,431,,
kern/chor069.krn,069,Y,.,226,"Komm, heiliger Geist, Herre Gott",226,,
kern/chor070.krn,070,Y,.,322,Gott sei gelobet und gebenedeiet,322,,
kern/chor071.krn,071,Y,.,177.5,"Ich ruf zu dir, Herr Jesu Christ",177,5,
kern/chor072.krn,072,Y,.,6.6,"Erhalt uns, Herr, bei deinem Wort",6,6,
kern/chor073.krn,073,Y,.,334,"Herr Jesu Christ, ich schrei zu dir",334,,
kern/chor074.krn,074,Y,.,244.54,O Haupt voll Blut und Wunden,244,54,
kern/chor075.krn,075,Y,.,291,Das walt mein Gott,291,,
kern/chor076.krn,076,Y,.,30.6,"Freu dich sehr, o meine Seele",30,6,
kern/chor077.krn,077,Y,.,248.46,"In dich hab ich gehoffet, Herr",248,46,
kern/chor078.krn,078,Y,.,244.3,"Herzliebester Jesu, was hast du verbrochen",244,3,
kern/chor079.krn,079,Y,.,342,Heut triumphieret Gottes Sohn,342,,
kern/chor080.krn,080,Y,.,244.44,O Haupt voll Blut und Wunden,244,44,
