Riemenschneider,krn_title,krn_file,ms_file,dcml_file,bwv,BWV,D,B,CPE,R,Text,Text Author,Tune,Tune Composer,Zahn,Liturgical Occasion,Other Settings (BWV)
1,Aus meines Herzens Grunde,chor001.krn,001/short_score.mxl,,269,269,,1,1,1,Aus meines Herzens Grunde,"Niege, Georg",Aus meines Herzens Grunde,Anonymous,5269,Unknown,0
2,"Ich dank dir, lieber Herre",chor002.krn,002/short_score.mxl,,347,347,,2,2,2,"Ich dank dir, lieber Herre","Kolros, Johann","Ich dank dir, lieber Herre",Anonymous,5354b,Unknown,"2 (37.6, 348)"
3,Ach Gott vom Himmel sieh darein,chor003.krn,003/short_score.mxl,,153.1,153.1,,3,3,3,"Schau, lieber Gott, wie meine Feind (1)","Denicke, David","Ach Gott, vom Himmel sieh darein",Erfurt 1524*,4431,Sunday after New Year,"2 (2.6, 77.6)"
4,Es ist das Heil uns kommen her,chor004.krn,004/short_score.mxl,,86.6,86.6,,4,4,4,Es ist das Heil uns kommen her (11),"Speratus, Paul",Es ist das Heil uns kommen her,Nürnberg 1523*,4430,Rogate (5th Sunday after Easter),"4 (9.7, 117.4=117.9, 155.5, 251)"
5,An Wasserflüssen Babylon,chor005.krn,005/short_score.mxl,,267,267,144,5 =308,5,5 =309,An Wasserflüssen Babylon (for B308),"Dachstein, Wolfgang",An Wasserflüssen Babylon,"Greitter, Matthias",7663,Unknown,0
6,"Christus, der ist mein Leben",chor006.krn,006/short_score.mxl,,281,281,,7,7,6,"Christus, der ist mein Leben",Geneva 1609,"Christus, der ist mein Leben","Vulpius, Melchior",132,Unknown,1 (282)
7,"Nun lob, mein Seel, den Herren",chor007.krn,007/short_score.mxl,,17.7,17.7,,6,6,7,"Nun lob, mein Seel, den Herren (3)","Gramann, Johann","Nun lob, mein Seel, den Herren","Kugelmann, Hans*",8244,14th Sunday after Trinity,"4 (29.8, 167.5, 389, 390)"
8,"Freuet euch, ihr Christen alle",chor008.krn,008/short_score.mxl,,40.8,40.8,,8,8,8,"Freuet euch, ihr Christen alle (4)","Keymann, Christian","Freuet euch, ihr Christian alle","Hammerschmidt, Andreas",7880a,2nd Day of Christmas,0
9,"Ermuntre dich, mein schwacher Geist",chor009.krn,009/short_score.mxl,,248.12,248.12,119 =134,9 =360,9,9 =361,"Ermuntre dich, mein schwacher Geist (9)","Rist, Johann","Ermuntre dich, mein schwacher Geist","Schop, Johann",5741,6. 2nd Day of Christmas,"2 (11.6, 43.11)"
10,Aus tiefer Not schrei ich zu dir,chor010.krn,010/short_score.mxl,,38.6,38.6,94,10,10,10,Aus tiefer Not schrei ich zu dir (5),"Luther, Martin",Aus tiefer Not schrei ich zu dir (melody #1),"Luther, Martin",4437,21st Sunday after Trinity,0
11,"Jesu, nun sei gepreiset",chor011.krn,011/short_score.mxl,,41.6,41.6,131,11,11,11,"Jesu, nun sei gepreiset (3)","Herman, Johannes","Jesu, nun sei gepreiset",Wittenberg 1591,8477a,New Year’s Day,"3 (171.6, 190.7, 362)"
12,Puer natus in Bethlehem,chor012.krn,012/short_score.mxl,,65.2,65.2,,12,12,12,Ein Kind geborn zu Bethlehem (4),"Spangenberg, Cyriakus",Ein Kind geborn zu Bethlehem (Puer natus in Bethlehem),"Lossius, Lucas*",192b,Feast of Epiphany,0
13,"Allein zu dir, Herr Jesu Christ",chor013.krn,013/short_score.mxl,,33.6,33.6,80,13,13,13,"Allein zu dir, Herr Jesu Christ (4)","Hubert, Konrad","Allein zu dir, Herr Jesu Christ",Wittenberg c.1541,7292b,13th Sunday after Trinity,1 (261)
