mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	0	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	0	4/4	1	0						3
3	3	5	4.0	0	4/4	1	0						4
4	4	9	4.0	0	4/4	1	0				line		5
5	5	13	4.0	0	4/4	1	0						6
6	6	17	4.0	0	4/4	1	0						7
7	7	21	4.0	0	4/4	1	0						8
8	8	25	4.0	0	4/4	1	0				line		9
9	9	29	4.0	0	4/4	1	0						10
10	10	33	4.0	0	4/4	1	0						11
11	11	37	4.0	0	4/4	1	0				line		12
12	12	41	4.0	0	4/4	1	0						13
13	13	45	4.0	0	4/4	1	0						14
14	14	49	4.0	0	4/4	1	0				line		15
15	15	53	4.0	0	4/4	1	0						16
16	16	57	4.0	0	4/4	1	0						17
17	17	61	4.0	0	4/4	1	0				line		18
18	18	65	4.0	0	4/4	1	0						19
19	19	69	4.0	0	4/4	1	0						20
20	20	73	4.0	0	4/4	1	0						21
21	21	77	4.0	0	4/4	1	0				line		22
22	22	81	1.0	0	4/4	1/4	0						23
23	23	82	4.0	0	4/4	1	0						24
24	24	86	4.0	0	4/4	1	0						25
25	25	90	4.0	0	4/4	1	0				line		26
26	26	94	4.0	0	4/4	1	0						27
27	27	98	4.0	0	4/4	1	0						28
28	28	102	4.0	0	4/4	1	0				line		29
29	29	106	4.0	0	4/4	1	0						30
30	30	110	4.0	0	4/4	1	0						31
31	31	114	4.0	0	4/4	1	0				line	lastMeasure	-1
