mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	0	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	0	4/4	1	0						3
3	3	5	4.0	0	4/4	1	0						4
4	4	9	4.0	0	4/4	1	0						5
5	5	13	3.0	0	4/4	3/4	0				line		6
6	6	16	1.0	0	4/4	1/4	3/4					start	7
7	7	17	4.0	0	4/4	1	0						8
8	8	21	4.0	0	4/4	1	0						9
9	9	25	4.0	0	4/4	1	0				line		10
10	10	29	3.0	0	4/4	3/4	0					end	6, 11
11	11	32	1.0	0	4/4	1/4	3/4					start	12
12	12	33	4.0	0	4/4	1	0						13
13	13	37	3.0	0	4/4	3/4	0				line	end	11, 14
14	14	40	1.0	0	4/4	1/4	3/4						15
15	15	41	4.0	0	4/4	1	0						16
16	16	45	4.0	0	4/4	1	0						17
17	17	49	3.0	0	4/4	3/4	0				line		18
18	18	52	1.0	0	4/4	1/4	3/4					start	19
19	19	53	4.0	0	4/4	1	0						20
20	20	57	4.0	0	4/4	1	0						21
21	21	61	4.0	0	4/4	1	0						22
22	22	65	3.0	0	4/4	3/4	0				line	end	18, 23
23	23	68	1.0	0	4/4	1/4	3/4					start	24
24	24	69	4.0	0	4/4	1	0						25
25	25	73	4.0	0	4/4	1	0						26
26	26	77	4.0	0	4/4	1	0						27
27	27	81	3.0	0	4/4	3/4	0				line	end	23, 28
28	28	84	1.0	0	4/4	1/4	3/4						29
29	29	85	4.0	0	4/4	1	0						30
30	30	89	4.0	0	4/4	1	0						31
31	31	93	4.0	0	4/4	1	0						32
32	32	97	4.0	0	4/4	1	0				line		33
33	33	101	4.0	0	4/4	1	0						34
34	34	105	4.0	0	4/4	1	0						35
35	35	109	4.0	0	4/4	1	0						36
36	36	113	4.0	0	4/4	1	0				line		37
37	37	117	4.0	0	4/4	1	0						38
38	38	121	4.0	0	4/4	1	0						39
39	39	125	4.0	0	4/4	1	0						40
40	40	129	4.0	0	4/4	1	0				line		41
41	41	133	4.0	0	4/4	1	0						42
42	42	137	4.0	0	4/4	1	0						43
43	43	141	4.0	0	4/4	1	0						44
44	44	145	3.0	0	4/4	3/4	0				line		45
45	45	148	1.0	0	4/4	1/4	3/4					start	46
46	46	149	4.0	0	4/4	1	0						47
47	47	153	4.0	0	4/4	1	0						48
48	48	157	4.0	0	4/4	1	0						49
49	49	161	3.0	0	4/4	3/4	0				line	end	45, 50
50	50	164	1.0	0	4/4	1/4	3/4						51
51	51	165	4.0	0	4/4	1	0						52
52	52	169	4.0	0	4/4	1	0						53
53	53	173	4.0	0	4/4	1	0				line		54
54	54	177	4.0	0	4/4	1	0						55
55	55	181	4.0	0	4/4	1	0						56
56	56	185	4.0	0	4/4	1	0						57
57	57	189	4.0	0	4/4	1	0				line	lastMeasure	-1
