mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	0	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	0	4/4	1	0						3
3	3	5	4.0	0	4/4	1	0						4
4	4	9	4.0	0	4/4	1	0				line		5
5	5	13	4.0	0	4/4	1	0						6
6	6	17	4.0	0	4/4	1	0						7
7	7	21	4.0	0	4/4	1	0						8
8	8	25	4.0	0	4/4	1	0				line		9
9	9	29	4.0	0	4/4	1	0						10
10	10	33	4.0	0	4/4	1	0						11
11	11	37	4.0	0	4/4	1	0						12
12	12	41	4.0	0	4/4	1	0				line		13
13	13	45	4.0	0	4/4	1	0						14
14	14	49	4.0	0	4/4	1	0						15
15	15	53	4.0	0	4/4	1	0						16
16	16	57	4.0	0	4/4	1	0				line		17
17	17	61	4.0	0	4/4	1	0						18
18	18	65	4.0	0	4/4	1	0						19
19	19	69	4.0	0	4/4	1	0				line		20
20	20	73	4.0	0	4/4	1	0						21
21	21	77	4.0	0	4/4	1	0						22
22	22	81	4.0	0	4/4	1	0						23
23	23	85	4.0	0	4/4	1	0				line		24
24	24	89	4.0	0	4/4	1	0						25
25	25	93	4.0	0	4/4	1	0						26
26	26	97	4.0	0	4/4	1	0				line	lastMeasure	-1
