mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	3	4/4	1/2	1/2					firstMeasure	2
2	2	2	4.0	3	4/4	1	0						3
3	3	6	4.0	3	4/4	1	0						4
4	4	10	4.0	3	4/4	1	0						5
5	5	14	4.0	3	4/4	1	0				line		6
6	6	18	4.0	3	4/4	1	0						7
7	7	22	4.0	3	4/4	1	0						8
8	8	26	4.0	3	4/4	1	0						9
9	9	30	4.0	3	4/4	1	0				line		10
10	10	34	4.0	3	4/4	1	0						11
11	11	38	4.0	3	4/4	1	0						12
12	12	42	4.0	3	4/4	1	0						13
13	13	46	4.0	3	4/4	1	0				line		14
14	14	50	4.0	3	4/4	1	0						15
15	15	54	4.0	3	4/4	1	0						16
16	16	58	4.0	3	4/4	1	0						17
17	17	62	4.0	3	4/4	1	0						18
18	18	66	4.0	3	4/4	1	0				line		19
19	19	70	4.0	3	4/4	1	0						20
20	20	74	4.0	3	4/4	1	0						21
21	21	78	4.0	3	4/4	1	0						22
22	22	82	4.0	3	4/4	1	0				line		23
23	23	86	4.0	3	4/4	1	0						24
24	24	90	4.0	3	4/4	1	0						25
25	25	94	4.0	3	4/4	1	0						26
26	26	98	4.0	3	4/4	1	0						27
27	27	102	4.0	3	4/4	1	0						28
28	28	106	3.0	3	4/4	3/4	0				line	lastMeasure	-1
