mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	2	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	2	4/4	1	0						3
3	3	5	4.0	2	4/4	1	0						4
4	4	9	4.0	2	4/4	1	0						5
5	5	13	4.0	2	4/4	1	0						6
6	6	17	4.0	2	4/4	1	0				line		7
7	7	21	4.0	2	4/4	1	0						8
8	8	25	4.0	2	4/4	1	0						9
9	9	29	3.0	2	4/4	3/4	0					end	1, 10
10	10	32	1.0	2	4/4	1/4	3/4					start	11
11	11	33	4.0	2	4/4	1	0				line		12
12	12	37	3.0	2	4/4	3/4	0					end	10, 13
13	13	40	1.0	2	4/4	1/4	3/4					start	14
14	14	41	4.0	2	4/4	1	0						15
15	15	45	4.0	2	4/4	1	0						16
16	16	49	4.0	2	4/4	1	0				line		17
17	17	53	3.0	2	4/4	3/4	0					end	13, 18
18	18	56	1.0	2	4/4	1/4	3/4						19
19	19	57	4.0	2	4/4	1	0						20
20	20	61	4.0	2	4/4	1	0						21
21	21	65	4.0	2	4/4	1	0						22
22	22	69	3.0	2	4/4	3/4	0				line	lastMeasure	-1
