mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	2	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	2	4/4	1	0						3
3	3	5	4.0	2	4/4	1	0						4
4	4	9	4.0	2	4/4	1	0				line		5
5	5	13	4.0	2	4/4	1	0						6
6	6	17	4.0	2	4/4	1	0						7
7	7	21	4.0	2	4/4	1	0						8
8	8	25	3.0	2	4/4	3/4	0				line	end	1, 9
9	9	28	1.0	2	4/4	1/4	3/4						10
10	10	29	4.0	2	4/4	1	0						11
11	11	33	4.0	2	4/4	1	0						12
12	12	37	4.0	2	4/4	1	0						13
13	13	41	2.0	2	4/4	1/2	0				line		14
14	14	43	4.0	2	4/4	1	0						15
15	15	47	4.0	2	4/4	1	0						16
16	16	51	4.0	2	4/4	1	0						17
17	17	55	4.0	2	4/4	1	0						18
18	18	59	4.0	2	4/4	1	0				line		19
19	19	63	4.0	2	4/4	1	0						20
20	20	67	4.0	2	4/4	1	0						21
21	21	71	4.0	2	4/4	1	0						22
22	22	75	3.0	2	4/4	3/4	0				line	lastMeasure	-1
