fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
001 Aus meines Herzens Grunde	1: 3/4	1: 1	23	23	63.0	31	31	84.0		252.0	226	80	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/001 Aus meines Herzens Grunde.mscz	False	42-74 (F#2-D5)	cap	Sopran/Alt	59-74 (B3-D5)	Tenor/Baß	42-64 (F#2-E4)
002 Ich danke dir, lieber Herre	1: 4/4	1: 3	15	15	52.0	20	20	68.0		208.0	228	79	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/002 Ich danke dir, lieber Herre.mscz	False	40-76 (E2-E5)	cap	Sopran/Alt	59-76 (B3-E5)	Tenor/Baß	40-68 (E2-G#4)
003 Ach Gott, vom Himmel sieh darein	1: 4/4	1: 1	12	12	40.0	17	17	56.0		160.0	196	64	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/003 Ach Gott, vom Himmel sieh darein.mscz	False	45-76 (A2-E5)	cap	Sopran/Alt	57-76 (A3-E5)	Tenor/Baß	45-65 (A2-F4)
004 Es ist das Heil uns kommen her	1: 4/4	1: 4	12	12	40.0	17	17	56.0		160.0	186	61	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/004 Es ist das Heil uns kommen her.mscz	False	40-76 (E2-E5)	cap	Sopran/Alt	59-76 (B3-E5)	Tenor/Baß	40-66 (E2-F#4)
005 An Wasserflüssen Babylon	1: 4/4	1: 1	19	19	68.0	24	24	84.0		272.0	323	123	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/005 An Wasserflüssen Babylon.mscz	False	40-76 (E2-E5)	cap	Sopran/Alt	54-76 (F#3-E5)	Tenor/Baß	40-64 (E2-E4)
006 Nun lob, mein Seel, den Herren	1: 3/4	1: 3	39	39	111.0	48	48	135.0		444.0	347	111	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/006 Nun lob, mein Seel, den Herren.mscz	False	42-76 (F#2-E5)	cap	Sopran/Alt	59-76 (B3-E5)	Tenor/Baß	42-68 (F#2-G#4)
007 Christus, der ist mein Leben	1: 4/4	1: -1	9	9	32.0	9	9	32.0		124.0	121	41	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/007 Christus, der ist mein Leben.mscz	False	41-77 (F2-F5)	cap	Sopran/Alt	60-77 (C4-F5)	Tenor/Baß	41-65 (F2-F4)
008 Freuet euch, ihr Christen alle	1: 4/4	1: -3	20	20	80.0	20	20	80.0		320.0	358	127	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/008 Freuet euch, ihr Christen alle.mscz	False	41-77 (F2-F5)	cap	Sopran/Alt	60-77 (C4-F5)	Tenor/Baß	41-67 (F2-G4)
009 Ermuntre dich, mein schwacher Geist	1: 4/4	1: 1	14	14	48.0	19	19	64.0		192.0	235	87	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/009 Ermuntre dich, mein schwacher Geist.mscz	False	38-79 (D2-G5)	cap	Sopran/Alt	62-79 (D4-G5)	Tenor/Baß	38-67 (D2-G4)
010 Aus tiefer Not schrei ich zu dir	1: 4/4	1: 0	13	13	52.0	18	18	72.0		208.0	182	57	0	0	0	1707	1748	http://bach-chorales.com/ChoralesByDate.htm										2021-11-22	Linux			4.0.2	1.2.10	MS3	MS3/010 Aus tiefer Not schrei ich zu dir.mscz	False	38-74 (D2-D5)	cap	Sopran/Alt	59-74 (B3-D5)	Tenor/Baß	38-67 (D2-G4)
