mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		3	45	A2	2	3
1	1	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	2
1	1	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		4	64	E4	4	1
1	1	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	0
2	2	1	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	10
2	2	1	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	8
2	2	1	2.0	0	0	3/4	1	2	1/2	1/2	1		4	64	E4	4	6
2	2	1	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	4
2	2	2	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	11
2	2	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		6	54	F#3	3	12
2	2	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	9
2	2	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	5
2	2	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	7
3	3	4	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	19
3	3	4	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	17
3	3	4	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	15
3	3	4	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	13
3	3	5	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		2	50	D3	3	20
3	3	6	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-1	53	F3	3	21
3	3	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	18
3	3	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	16
3	3	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	14
4	4	7	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	30
4	4	7	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	27
4	4	7	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	25
4	4	7	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	22
4	4	8	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	31
4	4	8	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	28
4	4	8	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	23
4	4	9	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-1	53	F3	3	32
4	4	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	29
4	4	9	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	26
4	4	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	24
5	5	10	3.0	0	0	3/4	2	2	3/4	1/2	3/2		0	48	C3	3	36
5	5	10	3.0	0	0	3/4	2	1	3/4	1/2	3/2		0	60	C4	4	35
5	5	10	3.0	0	0	3/4	1	2	3/4	1/2	3/2		4	64	E4	4	34
5	5	10	3.0	0	0	3/4	1	1	3/4	1/2	3/2		1	67	G4	4	33
6	6	13	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	42
6	6	13	3.0	0	0	3/4	2	1	3/4	1/2	3/2	1	4	64	E4	4	41
6	6	13	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	39
6	6	13	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	37
6	6	14	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	60	C4	4	43
6	6	15	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		5	59	B3	3	44
6	6	15	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		8	68	G#4	4	40
6	6	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	38
7	7	16	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	52
7	7	16	1.0	0	0	3/4	2	1	1/4	1/4	1	-1	4	64	E4	4	49
7	7	16	2.0	0	0	3/4	1	2	1/2	1/2	1		3	69	A4	4	47
7	7	16	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	45
7	7	17	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		6	54	F#3	3	53
7	7	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	50
7	7	18	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	54
7	7	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	51
7	7	18	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	48
7	7	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	46
8	8	19	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	61
8	8	19	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	59
8	8	19	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	57
8	8	19	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	55
8	8	21	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		0	60	C4	4	62
8	8	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	60
8	8	21	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	58
8	8	21	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		0	72	C5	5	56
9	9	22	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	70
9	9	22	1.0	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	67
9	9	22	2.0	0	0	3/4	1	2	1/2	1/2	1		3	69	A4	4	65
9	9	22	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	63
9	9	23	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		6	54	F#3	3	71
9	9	23	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	68
9	9	24	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	72
9	9	24	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	69
9	9	24	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	66
