mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	3
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	2
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	0
2	2	1	1.0	0	0	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	18
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	13
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	9
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	4
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		0	48	C3	3	19
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0	1	0	60	C4	4	14
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		-3	63	Eb4	4	10
2	2	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1.0		3	69	A4	4	5
2	2	5/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1.0		1	67	G4	4	6
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		2	50	D3	3	20
2	2	3	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1.0	-1	0	60	C4	4	15
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		2	62	D4	4	11
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		-1	65	F4	4	7
2	2	7/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1.0		-2	58	Bb3	3	16
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		1	55	G3	3	21
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0	1	-2	58	Bb3	3	17
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		2	62	D4	4	12
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	8
3	3	5	1.0	0	0	4/4	2	2	1/4	1/4	1.0		-1	53	F3	3	36
3	3	5	0.5	0	0	4/4	2	1	1/8	1/8	1.0	-1	-2	58	Bb3	3	30
3	3	5	1.0	0	0	4/4	1	2	1/4	1/4	1.0		-3	63	Eb4	4	26
3	3	5	1.0	0	0	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	22
3	3	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1.0		3	57	A3	3	31
3	3	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	37
3	3	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1.0		-2	58	Bb3	3	32
3	3	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	27
3	3	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	23
3	3	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1.0		-4	56	Ab3	3	33
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-3	51	Eb3	3	38
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		1	55	G3	3	34
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		-3	63	Eb4	4	28
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	24
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		-3	51	Eb3	3	39
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		3	57	A3	3	35
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		0	60	C4	4	29
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		-1	65	F4	4	25
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1.0		2	50	D3	3	53
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	48
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	44
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	40
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		3	45	A2	2	54
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		-3	63	Eb4	4	49
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	45
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	41
4	4	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	55
4	4	11	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1.0		2	62	D4	4	50
4	4	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	46
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	42
4	4	23/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1.0		0	60	C4	4	51
4	4	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		-3	51	Eb3	3	56
4	4	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0	1	-2	58	Bb3	3	52
4	4	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		1	67	G4	4	47
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		-3	75	Eb5	5	43
5	5	13	2.0	0	0	4/4	2	2	1/2	1/2	1.0		-1	53	F3	3	68
5	5	13	0.5	0	0	4/4	2	1	1/8	1/8	1.0	-1	-2	58	Bb3	3	63
5	5	13	2.0	0	0	4/4	1	2	1/2	1/2	1.0		-1	65	F4	4	61
5	5	13	0.5	0	0	4/4	1	1	1/8	1/8	1.0		0	72	C5	5	57
5	5	27/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1.0		3	57	A3	3	64
5	5	27/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1.0		-2	70	Bb4	4	58
5	5	55/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1.0		1	55	G3	3	65
5	5	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		3	57	A3	3	66
5	5	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	59
5	5	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	69
5	5	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	67
5	5	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	62
5	5	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	60
6	6	16	1.0	0	3/4	4/4	2	2	1/4	1/4	1.0	1	-2	46	Bb2	2	73
6	6	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	72
6	6	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	71
6	6	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	70
7	7	17	1.0	0	0	4/4	2	2	1/4	1/4	1.0	-1	-2	46	Bb2	2	90
7	7	17	1.0	0	0	4/4	2	1	1/4	1/4	1.0		0	60	C4	4	84
7	7	17	1.0	0	0	4/4	1	2	1/4	1/4	1.0		4	64	E4	4	79
7	7	17	1.0	0	0	4/4	1	1	1/4	1/4	1.0		1	67	G4	4	74
7	7	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		3	45	A2	2	91
7	7	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		0	60	C4	4	85
7	7	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0	1	-1	65	F4	4	80
7	7	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		3	69	A4	4	75
7	7	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		1	43	G2	2	92
7	7	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		2	62	D4	4	86
7	7	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0	-1	-1	65	F4	4	81
7	7	19	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1.0		-2	70	Bb4	4	76
7	7	39/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1.0		3	69	A4	4	77
7	7	20	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1.0		0	48	C3	3	93
7	7	20	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1.0		1	55	G3	3	87
7	7	20	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1.0		4	64	E4	4	82
7	7	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		1	67	G4	4	78
7	7	41/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	94
7	7	41/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1.0		3	57	A3	3	88
7	7	41/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1.0		2	62	D4	4	83
7	7	83/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1.0		-2	58	Bb3	3	89
8	8	21	0.5	0	0	4/4	2	2	1/8	1/8	1.0		3	45	A2	2	111
8	8	21	0.5	0	0	4/4	2	1	1/8	1/8	1.0		0	60	C4	4	103
8	8	21	1.0	0	0	4/4	1	2	1/4	1/4	1.0		0	60	C4	4	99
8	8	21	1.0	0	0	4/4	1	1	1/4	1/4	1.0		-1	65	F4	4	95
8	8	43/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	112
8	8	43/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1.0		-2	58	Bb3	3	104
8	8	87/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1.0		3	57	A3	3	105
8	8	22	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		0	48	C3	3	113
8	8	22	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1.0		1	55	G3	3	106
8	8	22	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		0	60	C4	4	100
8	8	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		4	64	E4	4	96
8	8	45/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1.0		3	57	A3	3	107
8	8	91/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1.0		-2	58	Bb3	3	108
8	8	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-1	41	F2	2	114
8	8	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		3	57	A3	3	109
8	8	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		0	60	C4	4	101
8	8	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		-1	65	F4	4	97
8	8	24	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1.0		-1	53	F3	3	115
8	8	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1.0		3	57	A3	3	110
8	8	24	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		0	60	C4	4	102
8	8	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		-1	65	F4	4	98
8	8	49/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	116
9	9	25	0.5	0	0	4/4	2	2	1/8	1/8	1.0		2	50	D3	3	131
9	9	25	1.0	0	0	4/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	126
9	9	25	0.5	0	0	4/4	1	2	1/8	1/8	1.0		-1	65	F4	4	121
9	9	25	1.0	0	0	4/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	117
9	9	51/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	132
9	9	51/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1.0		1	67	G4	4	122
9	9	26	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1.0		2	50	D3	3	133
9	9	26	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		-3	63	Eb4	4	127
9	9	26	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		3	69	A4	4	123
9	9	26	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	118
9	9	53/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1.0		0	48	C3	3	134
9	9	27	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	135
9	9	27	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		-1	65	F4	4	128
9	9	27	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		-2	70	Bb4	4	124
9	9	27	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	119
9	9	55/2	1.0	5/8	5/8	4/4	2	2	1/4	1/4	1.0		-2	58	Bb3	3	136
9	9	28	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1.0		1	67	G4	4	129
9	9	28	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0	1	0	72	C5	5	125
9	9	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		-3	75	Eb5	5	120
9	9	57/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1.0		3	57	A3	3	137
9	9	57/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1.0		-1	65	F4	4	130
10	10	29	1.0	0	0	4/4	2	2	1/4	1/4	1.0		-2	58	Bb3	3	152
10	10	29	1.0	0	0	4/4	2	1	1/4	1/4	1.0		-1	65	F4	4	147
10	10	29	0.5	0	0	4/4	1	2	1/8	1/8	1.0	-1	0	72	C5	5	142
10	10	29	1.0	0	0	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	138
10	10	59/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1.0		-2	70	Bb4	4	143
10	10	30	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		-1	53	F3	3	153
10	10	30	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		-1	65	F4	4	148
10	10	30	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	139
10	10	61/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1.0		3	69	A4	4	144
10	10	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	154
10	10	31	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0		-1	65	F4	4	149
10	10	31	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		-2	70	Bb4	4	145
10	10	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	140
10	10	32	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		3	57	A3	3	155
10	10	32	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1.0		-1	65	F4	4	150
10	10	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	146
10	10	32	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	141
10	10	65/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1.0		-3	63	Eb4	4	151
11	11	33	0.5	0	0	4/4	2	2	1/8	1/8	1.0		-2	58	Bb3	3	171
11	11	33	0.5	0	0	4/4	2	1	1/8	1/8	1.0		2	62	D4	4	165
11	11	33	1.0	0	0	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	161
11	11	33	1.0	0	0	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	156
11	11	67/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1.0		3	57	A3	3	172
11	11	67/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1.0		0	60	C4	4	166
11	11	34	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1.0		1	55	G3	3	173
11	11	34	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		-2	58	Bb3	3	167
11	11	34	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1.0		1	67	G4	4	162
11	11	34	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		-3	75	Eb5	5	157
11	11	35	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-1	53	F3	3	174
11	11	35	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1.0	1	0	60	C4	4	168
11	11	35	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1.0		3	69	A4	4	163
11	11	35	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1.0		-1	77	F5	5	158
11	11	71/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1.0		-3	75	Eb5	5	159
11	11	36	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1.0		-2	58	Bb3	3	175
11	11	36	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1.0	-1	0	60	C4	4	169
11	11	36	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1.0		-1	65	F4	4	164
11	11	36	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1.0		2	74	D5	5	160
11	11	73/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1.0	1	-2	58	Bb3	3	170
12	12	37	2.0	0	0	4/4	2	2	1/2	1/2	1.0		-1	53	F3	3	187
12	12	37	0.5	0	0	4/4	2	1	1/8	1/8	1.0	-1	-2	58	Bb3	3	182
12	12	37	2.0	0	0	4/4	1	2	1/2	1/2	1.0		-1	65	F4	4	180
12	12	37	0.5	0	0	4/4	1	1	1/8	1/8	1.0		0	72	C5	5	176
12	12	75/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1.0		3	57	A3	3	183
12	12	75/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1.0		-2	70	Bb4	4	177
12	12	151/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1.0		1	55	G3	3	184
12	12	38	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1.0		3	57	A3	3	185
12	12	38	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1.0		0	72	C5	5	178
12	12	39	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1.0		-2	46	Bb2	2	188
