mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	0
2	2	1	1	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	16
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	12
2	2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	8
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	4
2	2	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	17
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	18
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	13
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	9
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	5
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	19
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	14
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	10
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	6
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2	20
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	15
2	2	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	11
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	7
3	3	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		6	42	F#2	2	33
3	3	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	29
3	3	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	25
3	3	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	21
3	3	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2	34
3	3	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	30
3	3	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	26
3	3	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	22
3	3	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	35
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	31
3	3	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	27
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	23
3	3	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	36
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	32
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	28
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	24
4	4	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	49
4	4	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	45
