mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		9	51	D#3	3	3
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	2
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
2	2	1	2.0	0	0	4/4	2	2	1/2	1/2	1		4	52	E3	3	23
2	2	1	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	18
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	12
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	4
2	2	3/2	1.0	1/8	1/8	4/4	2	1	1/4	1/4	1		0	60	C4	4	19
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	13
2	2	2	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	5
2	2	5/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		5	59	B3	3	20
2	2	5/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	6
2	2	11/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	57	A3	3	21
2	2	11/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	7
2	2	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3	24
2	2	3	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1	1	5	59	B3	3	22
2	2	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4	14
2	2	3	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		1	67	G4	4	8
2	2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	25
2	2	7/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	15
2	2	7/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	9
2	2	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	26
2	2	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	10
2	2	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	16
2	2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	27
2	2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	17
2	2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	11
3	3	5	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	46
3	3	5	0.5	0	0	4/4	2	1	1/8	1/8	1	-1	5	59	B3	3	38
3	3	5	1.5	0	0	4/4	1	2	3/8	1/4	3/2		4	64	E4	4	34
3	3	5	0.75	0	0	4/4	1	1	3/16	1/8	3/2		1	67	G4	4	28
3	3	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	47
3	3	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	39
3	3	23/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	29
3	3	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	48
3	3	6	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		3	57	A3	3	40
3	3	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	30
3	3	25/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	55	G3	3	41
3	3	13/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		6	54	F#3	3	42
3	3	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	35
3	3	27/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		4	52	E3	3	43
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	49
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	44
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		9	63	D#4	4	36
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	31
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	40	E2	2	50
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	45
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	37
3	3	8	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	32
3	3	17/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	33
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		6	42	F#2	2	68
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	62
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	58
4	4	9	0.5	0	0	4/4	1	1	1/8	1/8	1		2	74	D5	5	51
4	4	19/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	52
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	69
4	4	10	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	63
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	59
4	4	10	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	53
4	4	21/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-1	53	F3	3	64
4	4	21/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	54
4	4	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		0	48	C3	3	70
4	4	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	65
4	4	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	60
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	55
4	4	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	71
4	4	12	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	48	C3	3	72
4	4	12	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		6	54	F#3	3	66
4	4	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	61
4	4	12	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	56
4	4	25/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	73
4	4	25/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	67
4	4	25/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	57
5	5	13	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	84
5	5	13	0.5	0	0	4/4	2	1	1/8	1/8	1		3	57	A3	3	80
5	5	13	0.5	0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	76
5	5	13	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	74
5	5	27/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	81
5	5	27/2	1.0	1/8	1/8	4/4	1	2	1/4	1/4	1		4	64	E4	4	77
5	5	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	82
5	5	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	78
5	5	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	40	E2	2	85
5	5	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	83
5	5	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	79
5	5	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	75
6	6	16	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	91
6	6	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	90
6	6	16	0.5	0	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	87
6	6	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	86
6	6	33/2	0.25	1/8	7/8	4/4	1	2	1/16	1/16	1		1	67	G4	4	88
6	6	67/4	0.25	3/16	15/16	4/4	1	2	1/16	1/16	1		-1	65	F4	4	89
7	7	17	1.0	0	0	4/4	2	2	1/4	1/4	1		0	48	C3	3	109
7	7	17	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3	103
7	7	17	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	99
7	7	17	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	92
7	7	35/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	104
7	7	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	110
7	7	18	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	105
