mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
2	2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	17
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	13
2	2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	9
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	4
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	18
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	14
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	10
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	5
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	15
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	19
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	11
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	6
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	62	D4	4	20
2	2	4	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	12
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	16
2	2	4	4	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	7
2	2	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	8
3	3	5	5	2.0	0	0	4/4	2	2	1/2	1/2	1		0	60	C4	4	27
3	3	5	5	2.0	0	0	4/4	2	1	1/2	1/2	1		-3	63	Eb4	4	25
3	3	5	5	2.0	0	0	4/4	1	2	1/2	1/2	1		1	67	G4	4	23
3	3	5	5	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	21
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	26
3	3	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	28
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	24
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	22
4	4	9	9	1.0	0	0	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	41
4	4	9	9	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	37
4	4	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	33
4	4	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	29
4	4	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	42
4	4	10	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	38
4	4	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	34
4	4	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	30
4	4	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	43
4	4	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	39
4	4	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	35
4	4	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	31
4	4	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	44
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	40
4	4	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	36
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	32
5	5	13	13	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	51
5	5	13	13	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	49
5	5	13	13	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	47
5	5	13	13	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	45
5	5	16	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	52
5	5	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	50
5	5	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	48
5	5	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	46
5	5	33/2	33/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	53
6	6	17	17	0.5	0	0	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	66
6	6	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	62
6	6	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	58
6	6	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	65	F4	4	54
6	6	35/2	35/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	67
6	6	18	18	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	68
6	6	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	63
6	6	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	59
6	6	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	55
6	6	37/2	37/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	69
