mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	3
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	2
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		-2	58	Bb3	3	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	0
2	2	1	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	16
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	12
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	8
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	4
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	17
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	13
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	9
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	5
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	18
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	14
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	10
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	6
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	19
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	15
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	7
3	3	5	2.0	0	0	4/4	2	2	1/2	1/2	1		0	48	C3	3	29
3	3	5	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	26
3	3	5	2.0	0	0	4/4	1	2	1/2	1/2	1		1	67	G4	4	23
3	3	5	2.0	0	0	4/4	1	1	1/2	1/2	1		-3	75	Eb5	5	20
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	30
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	27
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	24
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	21
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	31
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	28
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	72	C5	5	25
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	79	G5	5	22
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	44
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	40
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		0	72	C5	5	36
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	77	F5	5	32
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	45
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	41
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	37
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	33
