mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		-1	53	F3	3	3
1	1	0	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	2
1	1	0	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		0	60	C4	4	1
1	1	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	0
2	2	1	1	1.0	0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	10
2	2	1	1	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	8
2	2	1	1	2.0	0	0	3/4	1	2	1/2	1/2	1		2	62	D4	4	6
2	2	1	1	2.0	0	0	3/4	1	1	1/2	1/2	1		-1	65	F4	4	4
2	2	2	2	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	11
2	2	3	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-2	46	Bb2	2	12
2	2	3	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	9
2	2	3	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	7
2	2	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	5
3	3	4	4	1.0	0	0	3/4	2	2	1/4	1/4	1		3	45	A2	2	19
3	3	4	4	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	17
3	3	4	4	2.0	0	0	3/4	1	2	1/2	1/2	1		4	64	E4	4	15
3	3	4	4	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	13
3	3	5	5	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		-2	46	Bb2	2	20
3	3	11/2	11/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		3	45	A2	2	21
3	3	6	6	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		1	43	G2	2	22
3	3	6	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	18
3	3	6	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		4	64	E4	4	16
3	3	6	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	14
3	3	13/2	13/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		3	45	A2	2	23
4	4	7	7	0.5	0	0	3/4	2	2	1/8	1/8	1		-1	41	F2	2	29
4	4	7	7	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	27
4	4	7	7	3.0	0	0	3/4	1	2	3/4	1/2	3/2		-1	65	F4	4	26
4	4	7	7	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	24
4	4	15/2	15/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	30
4	4	8	8	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		-3	51	Eb3	3	31
4	4	17/2	17/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	32
4	4	9	9	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		0	48	C3	3	33
4	4	9	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	28
4	4	9	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	25
4	4	19/2	19/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		-2	46	Bb2	2	34
5	5	10	10	3.0	0	0	3/4	2	2	3/4	1/2	3/2		-1	53	F3	3	38
5	5	10	10	3.0	0	0	3/4	2	1	3/4	1/2	3/2		3	57	A3	3	37
5	5	10	10	3.0	0	0	3/4	1	2	3/4	1/2	3/2		-1	65	F4	4	36
5	5	10	10	3.0	0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	35
6	6	13	13	1.0	0	0	3/4	2	2	1/4	1/4	1		2	50	D3	3	46
6	6	13	13	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	44
6	6	13	13	1.0	0	0	3/4	1	2	1/4	1/4	1		-1	65	F4	4	41
6	6	13	13	2.0	0	0	3/4	1	1	1/2	1/2	1		-1	65	F4	4	39
6	6	14	14	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	47
6	6	14	14	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	42
6	6	15	15	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-2	46	Bb2	2	48
6	6	15	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	45
6	6	15	15	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	43
6	6	15	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	40
7	7	16	16	1.0	0	0	3/4	2	2	1/4	1/4	1		-1	53	F3	3	56
7	7	16	16	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	53
7	7	16	16	2.0	0	0	3/4	1	2	1/2	1/2	1		0	60	C4	4	51
7	7	16	16	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	49
7	7	17	17	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		4	52	E3	3	57
7	7	17	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	G3	3	54
7	7	18	18	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	58
7	7	18	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	55
7	7	18	18	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	52
7	7	18	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	50
8	8	19	19	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	67
8	8	19	19	1.0	0	0	3/4	2	1	1/4	1/4	1		1	55	G3	3	64
8	8	19	19	1.0	0	0	3/4	1	2	1/4	1/4	1		0	60	C4	4	61
8	8	19	19	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	59
8	8	20	20	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	48	C3	3	68
8	8	20	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	65
8	8	20	20	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	62
8	8	21	21	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	43	G2	2	69
8	8	21	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	66
8	8	21	21	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	63
8	8	21	21	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	60
9	9	22	22	3.0	0	0	3/4	2	2	3/4	1/2	3/2		0	48	C3	3	73
9	9	22	22	3.0	0	0	3/4	2	1	3/4	1/2	3/2		1	55	G3	3	72
9	9	22	22	3.0	0	0	3/4	1	2	3/4	1/2	3/2		4	64	E4	4	71
9	9	22	22	3.0	0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	70
10	10	25	25	2.0	0	0	3/4	2	2	1/2	1/2	1		-1	53	F3	3	80
10	10	25	25	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	78
10	10	25	25	2.0	0	0	3/4	1	2	1/2	1/2	1		-1	65	F4	4	76
10	10	25	25	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	74
