mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	1/2	3/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	3
1	1	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1.0		2	62	D4	4	2
1	1	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1.0		-1	65	F4	4	1
1	1	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1.0		-2	70	Bb4	4	0
1	1	1/2	0.5	1/8	5/8	3/4	2	2	1/8	1/8	1.0		3	45	A2	2	4
2	2	1	0.5	0	0	3/4	2	2	1/8	1/8	1.0		1	43	G2	2	11
2	2	1	2.0	0	0	3/4	2	1	1/2	1/2	1.0		2	62	D4	4	9
2	2	1	2.0	0	0	3/4	1	2	1/2	1/2	1.0		1	67	G4	4	7
2	2	1	2.0	0	0	3/4	1	1	1/2	1/2	1.0		-2	70	Bb4	4	5
2	2	3/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1.0		3	45	A2	2	12
2	2	2	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	13
2	2	5/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1.0		0	48	C3	3	14
2	2	3	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1.0		2	50	D3	3	15
2	2	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1.0		2	62	D4	4	10
2	2	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1.0		-1	65	F4	4	8
2	2	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1.0		3	69	A4	4	6
2	2	7/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1.0		-2	46	Bb2	2	16
3	3	4	0.5	0	0	3/4	2	2	1/8	1/8	1.0		-3	51	Eb3	3	23
3	3	4	2.0	0	0	3/4	2	1	1/2	1/2	1.0		-2	58	Bb3	3	21
3	3	4	2.0	0	0	3/4	1	2	1/2	1/2	1.0		-3	63	Eb4	4	19
3	3	4	2.0	0	0	3/4	1	1	1/2	1/2	1.0		1	67	G4	4	17
3	3	9/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1.0		-1	53	F3	3	24
3	3	5	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1.0		1	55	G3	3	25
3	3	11/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1.0		3	57	A3	3	26
