mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		-1	41	F2	2	3
1	1	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	2
1	1	0	1.0	0	1/2	3/4	1	2	1/4	1/4	1		0	60	C4	4	1
1	1	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	0
2	2	1	1.5	0	0	3/4	2	2	3/8	1/4	3/2		-1	53	F3	3	17
2	2	1	0.5	0	0	3/4	2	1	1/8	1/8	1		3	57	A3	3	12
2	2	1	1.0	0	0	3/4	1	2	1/4	1/4	1		0	60	C4	4	8
2	2	1	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-1	65	F4	4	4
2	2	3/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	13
2	2	2	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		3	57	A3	3	14
2	2	2	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		2	62	D4	4	9
2	2	5/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	18
2	2	5/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	15
2	2	5/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	10
2	2	5/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	5
2	2	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	19
2	2	3	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	16
2	2	3	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1	1	-1	65	F4	4	11
2	2	3	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	6
2	2	7/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	7
3	3	4	1.5	0	0	3/4	2	2	3/8	1/4	3/2		0	48	C3	3	28
3	3	4	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	26
3	3	4	1.0	0	0	3/4	1	2	1/4	1/4	1	-1	-1	65	F4	4	22
3	3	4	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	20
3	3	5	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		4	64	E4	4	23
3	3	11/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		2	50	D3	3	29
3	3	11/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	24
3	3	6	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		4	52	E3	3	30
3	3	6	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	27
3	3	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	21
3	3	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	25
3	3	13/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		0	48	C3	3	31
4	4	7	1.5	0	0	3/4	2	2	3/8	1/4	3/2		-1	53	F3	3	39
4	4	7	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	37
4	4	7	0.5	0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	34
4	4	7	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	32
4	4	15/2	0.5	1/8	1/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	35
4	4	8	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1	1	-1	65	F4	4	36
4	4	17/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	40
4	4	9	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	41
4	4	9	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	38
4	4	9	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	33
5	5	10	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	49
5	5	10	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	47
5	5	10	1.0	0	0	3/4	1	2	1/4	1/4	1	-1	-1	65	F4	4	44
5	5	10	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	42
5	5	11	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	45
5	5	12	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		4	52	E3	3	50
5	5	12	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	48
5	5	12	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	46
5	5	12	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	43
6	6	13	1.5	0	0	3/4	2	2	3/8	1/4	3/2		-1	53	F3	3	60
6	6	13	0.5	0	0	3/4	2	1	1/8	1/8	1		0	60	C4	4	57
6	6	13	1.0	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	55
6	6	13	1.5	0	0	3/4	1	1	3/8	1/4	3/2		3	69	A4	4	51
6	6	27/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	58
6	6	14	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		2	62	D4	4	59
6	6	14	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1		-1	65	F4	4	56
6	6	29/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	61
6	6	29/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		1	67	G4	4	52
6	6	15	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	62
6	6	15	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	69	A4	4	53
6	6	31/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	Bb4	4	54
7	7	16	1.5	0	0	3/4	2	2	3/8	1/4	3/2		4	52	E3	3	75
7	7	16	0.5	0	0	3/4	2	1	1/8	1/8	1		0	60	C4	4	71
7	7	16	0.5	0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	65
7	7	16	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	63
7	7	33/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		2	62	D4	4	72
7	7	33/2	0.5	1/8	1/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	66
7	7	17	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	73
7	7	17	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		1	67	G4	4	67
7	7	35/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		6	54	F#3	3	76
7	7	35/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1	1	3	69	A4	4	68
7	7	18	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	77
7	7	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	74
7	7	18	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	3	69	A4	4	69
7	7	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	64
7	7	37/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		1	67	G4	4	70
8	8	19	1.5	0	0	3/4	2	2	3/8	1/4	3/2		2	50	D3	3	90
8	8	19	1.0	0	0	3/4	2	1	1/4	1/4	1		2	62	D4	4	87
8	8	19	0.5	0	0	3/4	1	2	1/8	1/8	1		1	67	G4	4	80
8	8	19	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	78
8	8	39/2	0.25	1/8	1/8	3/4	1	2	1/16	1/16	1		-1	65	F4	4	81
8	8	79/4	0.25	3/16	3/16	3/4	1	2	1/16	1/16	1		4	64	E4	4	82
8	8	20	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	88
8	8	20	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-1	65	F4	4	83
8	8	41/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		0	48	C3	3	91
8	8	21	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-2	46	Bb2	2	92
8	8	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	D3	3	89
8	8	21	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	84
8	8	21	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	79
8	8	43/2	0.25	5/8	5/8	3/4	1	2	1/16	1/16	1		4	64	E4	4	85
8	8	87/4	0.25	11/16	11/16	3/4	1	2	1/16	1/16	1		2	62	D4	4	86
9	9	22	2.0	0	0	3/4	2	2	1/2	1/2	1		3	45	A2	2	99
9	9	22	2.0	0	0	3/4	2	1	1/2	1/2	1		4	52	E3	3	97
9	9	22	2.0	0	0	3/4	1	2	1/2	1/2	1		7	61	C#4	4	95
9	9	22	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	93
9	9	24	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	100
9	9	24	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	53	F3	3	98
9	9	24	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		2	62	D4	4	96
9	9	24	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	94
10	10	25	0.5	0	0	3/4	2	2	1/8	1/8	1		3	57	A3	3	108
10	10	25	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	106
10	10	25	1.5	0	0	3/4	1	2	3/8	1/4	3/2		4	64	E4	4	103
10	10	25	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	101
10	10	51/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		3	45	A2	2	109
10	10	26	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		3	57	A3	3	110
10	10	26	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1	1	0	60	C4	4	107
10	10	53/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		1	55	G3	3	111
10	10	53/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	104
10	10	27	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		-1	53	F3	3	112
10	10	27	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	105
10	10	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	102
10	10	55/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	113
11	11	28	0.5	0	0	3/4	2	2	1/8	1/8	1		-1	53	F3	3	124
11	11	28	0.5	0	0	3/4	2	1	1/8	1/8	1	-1	0	60	C4	4	119
11	11	28	1.0	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	116
11	11	28	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	114
11	11	57/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		-1	41	F2	2	125
11	11	57/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		3	57	A3	3	120
11	11	29	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		-1	53	F3	3	126
11	11	29	0.5	1/4	1/4	3/4	2	1	1/8	1/8	1		2	62	D4	4	121
11	11	29	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		-1	65	F4	4	117
11	11	59/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		4	52	E3	3	127
11	11	59/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		0	60	C4	4	122
11	11	30	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		2	50	D3	3	128
11	11	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	123
11	11	30	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		4	64	E4	4	118
11	11	30	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	115
