mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	2	2	1/2	1/2	1	1	-3	51	Eb3	3	12
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	8
1	1	0	0	1.0	0	0	4/4	1	2	1/4	1/4	1		-2	58	Bb3	3	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	63	Eb4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	9
1	1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	1
1	1	2	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1	-1	-3	51	Eb3	3	13
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	10
1	1	2	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	6
1	1	2	2	1.5	1/2	1/2	4/4	1	1	3/8	1/4	3/2		-2	70	Bb4	4	2
1	1	5/2	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	14
1	1	3	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	15
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	11
1	1	3	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	7
1	1	7/2	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-4	56	Ab3	3	16
1	1	7/2	7/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	3
2	2	4	4	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	28
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	24
2	2	4	4	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	20
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	17
2	2	9/2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	29
2	2	5	5	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	30
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	25
2	2	5	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	21
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	18
2	2	11/2	11/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	31
2	2	6	6	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	32
2	2	6	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	26
2	2	6	6	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	22
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	19
2	2	13/2	13/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	33
2	2	7	7	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	34
2	2	7	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	27
2	2	7	7	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	23
3	3	8	8	2.0	0	0	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	41
3	3	8	8	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	39
3	3	8	8	2.0	0	0	4/4	1	2	1/2	1/2	1		-1	65	F4	4	37
3	3	8	8	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	35
3	3	11	11	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	42
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	40
3	3	11	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	38
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	36
3	3	23/2	23/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-4	56	Ab3	3	43
4	4	12	12	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	58
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	54
4	4	12	12	1.5	0	0	4/4	1	2	3/8	1/4	3/2		-2	70	Bb4	4	49
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	44
4	4	25/2	25/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-4	56	Ab3	3	59
4	4	13	13	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	60
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	55
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	45
4	4	27/2	27/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	61
4	4	27/2	27/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-4	68	Ab4	4	50
4	4	14	14	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	62
4	4	14	14	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	56
4	4	14	14	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	51
4	4	14	14	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5	46
