mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	3
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	2
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	0
2	2	1	1.0	0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	16
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	12
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	4
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	17
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	13
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	9
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	5
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	14
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	18
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	10
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	6
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	19
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	15
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	11
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	7
3	3	5	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	28
3	3	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	32
3	3	5	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	23
3	3	5	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	20
3	3	11/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	24
3	3	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	33
3	3	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	29
3	3	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	25
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	34
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	30
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	26
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	21
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	35
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	31
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	27
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	22
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	50
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	46
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		0	60	C4	4	40
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	36
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	51
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	53	F3	3	47
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	41
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	37
4	4	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	44	G#2	2	52
4	4	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	52	E3	3	48
4	4	11	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4	42
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	38
4	4	23/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	43
4	4	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2	53
4	4	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	49
4	4	12	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	44
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	39
4	4	25/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	45
5	5	13	3.0	0	0	4/4	2	2	3/4	1/2	3/2		3	45	A2	2	57
5	5	13	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	56
5	5	13	3.0	0	0	4/4	1	2	3/4	1/2	3/2		0	60	C4	4	55
5	5	13	3.0	0	0	4/4	1	1	3/4	1/2	3/2		4	64	E4	4	54
6	6	16	1.0	0	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	61
6	6	16	1.0	0	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	60
6	6	16	1.0	0	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	59
6	6	16	1.0	0	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	58
7	7	17	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	74
7	7	17	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	70
7	7	17	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	66
7	7	17	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	62
7	7	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	75
7	7	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	71
7	7	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	67
7	7	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	63
7	7	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	76
7	7	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	72
7	7	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	68
7	7	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	64
7	7	20	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	77
7	7	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	73
7	7	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	69
7	7	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	65
8	8	21	3.0	0	0	4/4	2	2	3/4	1/2	3/2		0	48	C3	3	84
8	8	21	3.0	0	0	4/4	2	1	3/4	1/2	3/2		4	64	E4	4	82
8	8	21	3.0	0	0	4/4	1	2	3/4	1/2	3/2		1	67	G4	4	80
8	8	21	3.0	0	0	4/4	1	1	3/4	1/2	3/2		0	72	C5	5	78
8	8	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	85
8	8	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	83
8	8	24	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	81
8	8	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	79
9	9	25	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	100
9	9	25	1.5	0	0	4/4	2	1	3/8	1/4	3/2		0	60	C4	4	95
9	9	25	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	90
9	9	25	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	86
9	9	26	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	101
9	9	26	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	91
9	9	26	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	87
9	9	53/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1	1	5	59	B3	3	96
9	9	27	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	102
9	9	27	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	5	59	B3	3	97
9	9	27	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	92
9	9	27	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	88
9	9	55/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	98
9	9	28	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	103
9	9	28	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	0	60	C4	4	99
9	9	28	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	93
9	9	28	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	89
9	9	57/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	94
10	10	29	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	117
10	10	29	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	0	60	C4	4	112
10	10	29	0.5	0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	107
10	10	29	2.0	0	0	4/4	1	1	1/2	1/2	1		2	74	D5	5	104
10	10	59/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	108
10	10	30	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	113
10	10	30	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	109
10	10	61/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	114
10	10	31	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	118
10	10	31	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	115
10	10	31	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	110
10	10	31	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	105
10	10	32	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	119
10	10	32	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	116
10	10	32	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	111
10	10	32	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	106
11	11	33	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	133
11	11	33	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	128
11	11	33	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	124
11	11	33	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	120
11	11	34	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	134
11	11	34	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	129
11	11	34	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	125
11	11	34	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	121
11	11	35	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	135
11	11	35	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57	A3	3	130
11	11	35	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	126
11	11	35	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	122
11	11	71/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	131
11	11	36	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	136
11	11	36	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	132
11	11	36	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1	1	-1	65	F4	4	127
11	11	36	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	123
12	12	37	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	150
12	12	37	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	146
12	12	37	0.5	0	0	4/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	141
12	12	37	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	137
12	12	75/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	142
12	12	38	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	151
12	12	38	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	147
12	12	38	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	143
12	12	38	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	138
12	12	39	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	152
12	12	39	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	148
