mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	4
1	1	0	0	1.0	0	1/2	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	3
1	1	0	0	0.5	0	1/2	3/4	1	2	1/8	1/8	1		2	62	D4	4	1
1	1	0	0	1.0	0	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1/2	1/2	0.5	1/8	5/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	2
2	2	1	1	2.0	0	0	3/4	2	2	1/2	1/2	1		-1	53	F3	3	13
2	2	1	1	2.0	0	0	3/4	2	1	1/2	1/2	1	1	0	60	C4	4	10
2	2	1	1	2.0	0	0	3/4	1	2	1/2	1/2	1	1	-1	65	F4	4	7
2	2	1	1	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	5
2	2	3	3	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		0	48	C3	3	14
2	2	3	3	0.75	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	0	60	C4	4	11
2	2	3	3	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	8
2	2	3	3	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	2	7/2	7/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		4	64	E4	4	9
2	2	15/4	15/4	0.25	11/16	11/16	3/4	2	1	1/16	1/16	1		-2	58	Bb3	3	12
3	3	4	4	2.0	0	0	3/4	2	2	1/2	1/2	1		2	50	D3	3	23
3	3	4	4	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	20
3	3	4	4	1.0	0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	17
3	3	4	4	2.0	0	0	3/4	1	1	1/2	1/2	1		-1	65	F4	4	15
3	3	5	5	1.5	1/4	1/4	3/4	2	1	3/8	1/4	3/2		-1	53	F3	3	21
3	3	5	5	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	57	A3	3	18
3	3	6	6	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-2	46	Bb2	2	24
3	3	6	6	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-2	58	Bb3	3	19
3	3	6	6	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	62	D4	4	16
3	3	13/2	13/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		1	55	G3	3	22
4	4	7	7	2.0	0	0	3/4	2	2	1/2	1/2	1		3	45	A2	2	34
4	4	7	7	2.0	0	0	3/4	2	1	1/2	1/2	1		3	57	A3	3	31
4	4	7	7	0.5	0	0	3/4	1	2	1/8	1/8	1		0	60	C4	4	26
4	4	7	7	3.0	0	0	3/4	1	1	3/4	1/2	3/2		-1	65	F4	4	25
4	4	15/2	15/2	0.5	1/8	1/8	3/4	1	2	1/8	1/8	1		-3	63	Eb4	4	27
4	4	8	8	0.5	1/4	1/4	3/4	1	2	1/8	1/8	1		2	62	D4	4	28
4	4	17/2	17/2	0.5	3/8	3/8	3/4	1	2	1/8	1/8	1		0	60	C4	4	29
4	4	9	9	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	35
4	4	9	9	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		1	55	G3	3	32
4	4	9	9	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		5	59	B3	3	30
4	4	19/2	19/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		-1	53	F3	3	33
5	5	10	10	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	43
5	5	10	10	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	41
5	5	10	10	2.0	0	0	3/4	1	2	1/2	1/2	1		4	64	E4	4	38
