mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	2
1	1	0	1.0	0	1/2	3/4	2	2	1/4		1/4	1		-2	58	Bb3	3	3
1	1	0	1.0	0	1/2	3/4	1	2	1/4		1/4	1		2	62	D4	4	1
1	1	0	1.0	0	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	0
2	2	1	1.0	0	0	3/4	2	2	1/4		1/4	1		2	50	D3	3	17
2	2	1	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	13
2	2	1	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	9
2	2	1	1.0	0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	4
2	2	2	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		0	48	C3	3	18
2	2	2	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-1	65	F4	4	14
2	2	2	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	10
2	2	2	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	5
2	2	5/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	15
2	2	5/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	11
2	2	5/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	6
2	2	3	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	19
2	2	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	16
2	2	3	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	12
2	2	3	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	7
2	2	7/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	8
3	3	4	1.0	0	0	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	29
3	3	4	1.0	0	0	3/4	2	1	1/4		1/4	1		-3	63	Eb4	4	24
3	3	4	1.0	0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	22
3	3	4	1.0	0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	20
3	3	5	0.5	1/4	1/4	3/4	2	2	1/8		1/8	1		1	55	G3	3	30
3	3	5	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	25
3	3	5	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		1	67	G4	4	23
3	3	5	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	21
3	3	11/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		-1	53	F3	3	31
3	3	11/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	26
3	3	6	0.5	1/2	1/2	3/4	2	2	1/8		1/8	1		1	55	G3	3	32
3	3	6	0.5	1/2	1/2	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	27
3	3	13/2	0.5	5/8	5/8	3/4	2	2	1/8		1/8	1		-3	51	Eb3	3	33
3	3	13/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		0	60	C4	4	28
4	4	7	0.5	0	0	3/4	2	2	1/8		1/8	1		-2	58	Bb3	3	43
4	4	7	2.0	0	0	3/4	2	1	1/2		1/2	1		2	62	D4	4	41
4	4	7	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	37
4	4	7	1.0	0	0	3/4	1	1	1/4		1/4	1		-1	77	F5	5	34
4	4	15/2	0.5	1/8	1/8	3/4	2	2	1/8		1/8	1		3	57	A3	3	44
4	4	8	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		1	55	G3	3	45
4	4	8	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		1	67	G4	4	38
4	4	8	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	35
4	4	17/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	39
4	4	9	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	46
4	4	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	42
4	4	9	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	40
4	4	9	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	36
5	5	10	2.0	0	0	3/4	2	2	1/2		1/2	1		-1	53	F3	3	55
5	5	10	1.5	0	0	3/4	2	1	3/8		1/4	3/2		-1	65	F4	4	52
5	5	10	1.0	0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	49
5	5	10	2.0	0	0	3/4	1	1	1/2		1/2	1		0	72	C5	5	47
5	5	11	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		3	69	A4	4	50
5	5	23/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-3	63	Eb4	4	53
5	5	12	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	46	Bb2	2	56
5	5	12	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	54
5	5	12	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	51
5	5	12	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	48
6	6	13	0.5	0	0	3/4	2	2	1/8		1/8	1		3	57	A3	3	68
6	6	13	0.5	0	0	3/4	2	1	1/8		1/8	1		0	60	C4	4	63
6	6	13	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	60
6	6	13	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	57
6	6	27/2	0.5	1/8	1/8	3/4	2	2	1/8		1/8	1		1	55	G3	3	69
6	6	27/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		-2	58	Bb3	3	64
6	6	14	0.5	1/4	1/4	3/4	2	2	1/8		1/8	1		3	57	A3	3	70
6	6	14	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		0	60	C4	4	65
6	6	14	1.5	1/4	1/4	3/4	1	2	3/8		1/4	3/2		-1	65	F4	4	61
6	6	14	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	58
6	6	29/2	0.5	3/8	3/8	3/4	2	2	1/8		1/8	1		-1	53	F3	3	71
6	6	29/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	66
6	6	15	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	67
6	6	15	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-2	58	Bb3	3	72
6	6	15	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	D5	5	59
6	6	31/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		-1	65	F4	4	62
7	7	16	1.0	0	0	3/4	2	2	1/4		1/4	1		-1	53	F3	3	85
7	7	16	1.0	0	0	3/4	2	1	1/4		1/4	1		0	60	C4	4	82
7	7	16	1.0	0	0	3/4	1	2	1/4		1/4	1		3	69	A4	4	78
7	7	16	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	73
7	7	17	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		-3	51	Eb3	3	86
7	7	17	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	83
