mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	4/4	2	2	1/8	1/8	1		1	43	G2	2	12
1	1	0	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	8
1	1	0	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	4
1	1	0	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	13
1	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	14
1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	9
1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	5
1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	1
1	1	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	15
1	1	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	50	D3	3	16
1	1	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	10
1	1	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	6
1	1	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	2
1	1	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	17
1	1	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-2	46	Bb2	2	18
1	1	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	11
1	1	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	7
1	1	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	3
1	1	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	19
2	2	4	1.0	0	0	4/4	2	2	1/4	1/4	1		6	42	F#2	2	35
2	2	4	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	29
2	2	4	0.5	0	0	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	23
2	2	4	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	20
2	2	9/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	24
2	2	5	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	43	G2	2	36
2	2	5	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	30
2	2	5	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	25
2	2	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	21
2	2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	31
2	2	11/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	26
2	2	6	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	37
2	2	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	32
