mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	3/4	2	2	1/4	1/4	1		-1	41	F2	2	9
1	1	0	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	6
1	1	0	1.0	0	0	3/4	1	2	1/4	1/4	1		0	60	C4	4	3
1	1	0	1.0	0	0	3/4	1	1	1/4	1/4	1		-1	65	F4	4	0
1	1	1	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	10
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	C4	4	7
1	1	1	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		-1	65	F4	4	4
1	1	1	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	1
1	1	2	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	11
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	8
1	1	2	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	5
1	1	2	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	2
2	2	3	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	15
2	2	3	3.0	0	0	3/4	2	1	3/4	1/2	3/2		4	64	E4	4	14
2	2	3	3.0	0	0	3/4	1	2	3/4	1/2	3/2		1	67	G4	4	13
2	2	3	3.0	0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	12
2	2	4	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		0	60	C4	4	16
2	2	5	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-2	58	Bb3	3	17
3	3	6	1.0	0	0	3/4	2	2	1/4	1/4	1		3	57	A3	3	27
3	3	6	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	24
3	3	6	1.0	0	0	3/4	1	2	1/4	1/4	1		-1	65	F4	4	21
3	3	6	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	18
3	3	7	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		1	55	G3	3	28
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	25
3	3	7	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		1	67	G4	4	22
3	3	7	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	19
3	3	8	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	57	A3	3	29
3	3	8	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	26
3	3	8	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	23
