mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	15
1	1	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	10
1	1	0	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	5
1	1	0	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
1	1	1	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	16
1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	11
1	1	1	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	6
1	1	1	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	1
1	1	3/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	2
1	1	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	17
1	1	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	12
1	1	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	7
1	1	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	3
1	1	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	18
1	1	3	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	19
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	13
1	1	3	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	8
1	1	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	4
1	1	7/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	14
1	1	7/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	9
2	2	4	0.5	0	0	4/4	2	2	1/8	1/8	1		3	57	A3	3	34
2	2	4	0.5	0	0	4/4	2	1	1/8	1/8	1		7	61	C#4	4	29
2	2	4	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	24
2	2	4	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	20
2	2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	35
2	2	9/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	30
2	2	5	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	36
2	2	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	31
2	2	5	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	25
2	2	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	21
2	2	11/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	37
2	2	11/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	26
2	2	6	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	38
2	2	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	32
2	2	6	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	27
2	2	6	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	22
2	2	7	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	39
2	2	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	33
2	2	7	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	28
2	2	7	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	23
3	3	8	0.5	0	0	4/4	2	1	1/8	1/8	1		1	55	G3	3	49
3	3	8	0.5	0	0	4/4	2	2	1/8	1/8	1		1	55	G3	3	54
3	3	8	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	44
3	3	8	1.5	0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	40
3	3	17/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	55
3	3	17/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	50
3	3	9	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	56
3	3	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	51
3	3	9	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	45
3	3	19/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	46
3	3	19/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	41
3	3	10	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		4	52	E3	3	57
3	3	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	52
3	3	10	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	47
3	3	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	42
3	3	21/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	58
3	3	11	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	59
3	3	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	53
3	3	11	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	48
3	3	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	43
4	4	12	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	72
4	4	12	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	68
4	4	12	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	65
4	4	12	0.5	0	0	4/4	1	1	1/8	1/8	1		1	67	G4	4	60
4	4	25/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	61
4	4	13	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	73
4	4	13	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	69
4	4	13	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	66
4	4	13	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	62
4	4	27/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	70
4	4	27/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	63
4	4	14	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	74
4	4	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	71
4	4	14	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		3	57	A3	3	67
4	4	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	62	D4	4	64
5	5	16	1.0	0	0	4/4	2	2	1/4	1/4	1		7	49	C#3	3	91
5	5	16	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	85
5	5	16	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	80
5	5	16	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	75
5	5	17	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	92
5	5	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	86
5	5	17	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	81
5	5	17	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	67	G4	4	76
5	5	35/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	77
5	5	18	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		9	51	D#3	3	93
5	5	18	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		3	57	A3	3	87
5	5	18	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	82
5	5	18	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	78
5	5	37/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		6	54	F#3	3	88
5	5	19	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	94
5	5	19	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	89
5	5	19	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	83
5	5	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	79
5	5	39/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1	1	5	59	B3	3	90
5	5	39/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	84
6	6	20	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	108
6	6	20	0.5	0	0	4/4	2	1	1/8	1/8	1	-1	5	59	B3	3	103
6	6	20	1.0	0	0	4/4	1	2	1/4	1/4	1		7	61	C#4	4	99
6	6	20	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	95
6	6	41/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		8	56	G#3	3	104
6	6	21	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	109
6	6	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	105
6	6	21	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	100
6	6	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	96
6	6	22	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	110
6	6	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	106
6	6	22	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	101
6	6	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	97
6	6	23	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	111
6	6	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	107
6	6	23	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	102
6	6	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	98
7	7	24	1.0	0	0	4/4	2	2	1/4	1/4	1		1	43	G2	2	127
7	7	24	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	121
7	7	24	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	116
7	7	24	1.5	0	0	4/4	1	1	3/8	1/4	3/2		5	71	B4	4	112
7	7	49/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	117
7	7	25	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	128
7	7	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	122
7	7	25	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	118
7	7	51/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	69	A4	4	113
7	7	26	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	129
7	7	26	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59	B3	3	123
7	7	26	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	119
7	7	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		1	67	G4	4	114
7	7	53/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	124
7	7	27	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	130
7	7	27	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	52	E3	3	125
7	7	27	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	120
7	7	27	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	115
7	7	55/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	126
8	8	28	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	144
8	8	28	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	141
8	8	28	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	136
