mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	2
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	3
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	0
2	2	1	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	17
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		1	55	G3	3	12
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	8
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	4
2	2	2	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	13
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	18
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	9
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	5
2	2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	14
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		9	51	D#3	3	19
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	15
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	10
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	6
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	20
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	16
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	11
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	7
3	3	5	1.0	0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	38
3	3	5	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	32
3	3	5	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	28
3	3	5	0.5	0	0	4/4	1	1	1/8	1/8	1		6	66	F#4	4	21
3	3	11/2	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		1	67	G4	4	22
3	3	23/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		3	69	A4	4	23
3	3	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	39
3	3	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	33
3	3	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		9	63	D#4	4	29
3	3	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	24
3	3	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	34
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	40
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	35
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		5	59	B3	3	30
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	64	E4	4	25
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	41
3	3	8	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	36
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	59	B3	3	31
3	3	8	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	26
3	3	17/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	37
3	3	17/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	27
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	55
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	51
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	46
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	42
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	56
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	52
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	47
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	43
4	4	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	53
4	4	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	57
4	4	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	48
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	44
4	4	12	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	58
4	4	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	54
4	4	12	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	49
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	45
4	4	25/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		7	49	C#3	3	59
4	4	25/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	50
5	5	13	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	74
5	5	13	1.0	0	0	4/4	2	1	1/4	1/4	1	1	5	59	B3	3	69
5	5	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	64
5	5	13	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	60
5	5	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	75
5	5	14	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1	-1	5	59	B3	3	70
5	5	14	0.75	1/4	1/4	4/4	1	2	3/16	1/8	3/2		6	66	F#4	4	65
5	5	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	61
5	5	29/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	71
5	5	59/4	0.25	7/16	7/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	66
5	5	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	76
5	5	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	72
5	5	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	67
5	5	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	62
5	5	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	77
5	5	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		1	55	G3	3	73
5	5	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	68
5	5	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	63
5	5	33/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	78
6	6	17	1.0	0	0	4/4	2	2	1/4	1/4	1		7	49	C#3	3	92
6	6	17	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	87
6	6	17	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	83
6	6	17	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	79
6	6	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	93
6	6	18	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	88
6	6	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	84
6	6	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	80
6	6	37/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	89
6	6	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	57	A3	3	94
6	6	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	90
6	6	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	85
6	6	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	81
6	6	20	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		8	56	G#3	3	95
6	6	20	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	91
6	6	20	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	86
6	6	20	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	82
7	7	21	0.5	0	0	4/4	2	2	1/8	1/8	1		3	57	A3	3	112
7	7	21	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	107
7	7	21	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	101
7	7	21	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	96
7	7	43/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	59	B3	3	113
7	7	22	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		8	56	G#3	3	108
7	7	22	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4	114
7	7	22	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	102
7	7	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	97
7	7	45/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	109
7	7	45/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	103
7	7	23	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	54	F#3	3	115
7	7	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	110
7	7	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	104
7	7	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	98
7	7	24	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	116
7	7	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	111
7	7	24	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	105
7	7	24	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		3	69	A4	4	99
7	7	49/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	106
7	7	49/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	100
