mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	3/4	2	2	1/2	1/2	1		0	60	C4	4	6
1	1	0	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	4
1	1	0	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	2
1	1	0	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	0
1	1	2	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	7
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	5
1	1	2	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	3
1	1	2	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	1
2	2	3	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	15
2	2	3	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	12
2	2	3	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	10
2	2	3	2.0	0	0	3/4	1	1	1/2	1/2	1		4	76	E5	5	8
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	59	B3	3	13
2	2	5	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	16
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	14
2	2	5	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		6	66	F#4	4	11
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	9
3	3	6	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	25
3	3	6	1.0	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	22
3	3	6	1.0	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	19
3	3	6	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	17
3	3	7	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		6	54	F#3	3	26
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	23
3	3	7	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	20
3	3	8	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	27
3	3	8	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	24
3	3	8	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	21
3	3	8	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	18
4	4	9	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	33
4	4	9	1.0	0	0	3/4	2	1	1/4	1/4	1		0	60	C4	4	31
4	4	9	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	29
4	4	9	3.0	0	0	3/4	1	1	3/4	1/2	3/2		3	69	A4	4	28
4	4	10	2.0	1/4	1/4	3/4	2	2	1/2	1/2	1		2	50	D3	3	34
4	4	10	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		3	57	A3	3	32
4	4	10	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1		6	66	F#4	4	30
5	5	12	3.0	0	0	3/4	2	2	3/4	1/2	3/2		1	43	G2	2	38
5	5	12	3.0	0	0	3/4	2	1	3/4	1/2	3/2		5	59	B3	3	37
5	5	12	3.0	0	0	3/4	1	2	3/4	1/2	3/2		2	62	D4	4	36
5	5	12	3.0	0	0	3/4	1	1	3/4	1/2	3/2		1	67	G4	4	35
6	6	15	2.0	0	0	3/4	2	2	1/2	1/2	1		4	52	E3	3	46
6	6	15	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	44
6	6	15	1.0	0	0	3/4	1	2	1/4	1/4	1		0	60	C4	4	41
6	6	15	2.0	0	0	3/4	1	1	1/2	1/2	1		0	72	C5	5	39
6	6	16	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	42
6	6	17	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1	1	2	50	D3	3	47
6	6	17	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	45
6	6	17	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	43
6	6	17	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	40
7	7	18	1.0	0	0	3/4	2	2	1/4	1/4	1	-1	2	50	D3	3	56
7	7	18	1.0	0	0	3/4	2	1	1/4	1/4	1		-2	58	Bb3	3	52
7	7	18	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	50
7	7	18	2.0	0	0	3/4	1	1	1/2	1/2	1		4	76	E5	5	48
7	7	19	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		7	49	C#3	3	57
7	7	19	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	53
7	7	20	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	58
7	7	20	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		3	57	A3	3	54
7	7	20	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	51
7	7	20	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	49
7	7	41/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		5	59	B3	3	55
8	8	21	1.0	0	0	3/4	2	2	1/4	1/4	1		4	52	E3	3	67
8	8	21	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	65
8	8	21	1.0	0	0	3/4	1	2	1/4	1/4	1		1	67	G4	4	61
8	8	21	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	59
8	8	22	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	68
8	8	22	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	62
8	8	22	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		2	74	D5	5	60
8	8	23	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	69
8	8	23	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	66
8	8	23	0.5	1/2	1/2	3/4	1	2	1/8	1/8	1		1	67	G4	4	63
8	8	47/2	0.5	5/8	5/8	3/4	1	2	1/8	1/8	1		-1	65	F4	4	64
9	9	24	3.0	0	0	3/4	2	2	3/4	1/2	3/2		0	48	C3	3	73
9	9	24	3.0	0	0	3/4	2	1	3/4	1/2	3/2		1	55	G3	3	72
9	9	24	3.0	0	0	3/4	1	2	3/4	1/2	3/2		4	64	E4	4	71
9	9	24	3.0	0	0	3/4	1	1	3/4	1/2	3/2		0	72	C5	5	70
10	10	27	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	78
10	10	27	2.0	0	0	3/4	2	2	1/2	1/2	1		0	60	C4	4	80
10	10	27	2.0	0	0	3/4	1	2	1/2	1/2	1		1	67	G4	4	76
10	10	27	2.0	0	0	3/4	1	1	1/2	1/2	1		4	76	E5	5	74
10	10	29	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		3	57	A3	3	81
10	10	29	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	79
10	10	29	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	77
10	10	29	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	75
11	11	30	2.0	0	0	3/4	2	2	1/2	1/2	1		4	52	E3	3	88
11	11	30	2.0	0	0	3/4	2	1	1/2	1/2	1		1	55	G3	3	86
11	11	30	2.0	0	0	3/4	1	2	1/2	1/2	1		-2	70	Bb4	4	84
11	11	30	2.0	0	0	3/4	1	1	1/2	1/2	1		1	79	G5	5	82
11	11	32	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-1	53	F3	3	89
11	11	32	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60	C4	4	87
11	11	32	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		3	69	A4	4	85
11	11	32	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	77	F5	5	83
12	12	33	1.0	0	0	3/4	2	2	1/4	1/4	1		1	55	G3	3	97
12	12	33	2.0	0	0	3/4	2	1	1/2	1/2	1		0	60	C4	4	95
12	12	33	1.0	0	0	3/4	1	2	1/4	1/4	1		4	64	E4	4	92
12	12	33	1.0	0	0	3/4	1	1	1/4	1/4	1		4	76	E5	5	90
12	12	34	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-1	53	F3	3	98
12	12	34	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69	A4	4	93
12	12	34	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		2	74	D5	5	91
12	12	35	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55	G3	3	99
12	12	35	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		5	59	B3	3	96
12	12	35	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67	G4	4	94
13	13	36	3.0	0	0	3/4	2	2	3/4	1/2	3/2		0	48	C3	3	103
13	13	36	3.0	0	0	3/4	2	1	3/4	1/2	3/2		1	55	G3	3	102
13	13	36	3.0	0	0	3/4	1	2	3/4	1/2	3/2		1	67	G4	4	101
13	13	36	3.0	0	0	3/4	1	1	3/4	1/2	3/2		4	76	E5	5	100
14	14	39	1.0	0	0	3/4	2	2	1/4	1/4	1		0	48	C3	3	110
14	14	39	1.0	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	108
14	14	39	1.0	0	0	3/4	1	2	1/4	1/4	1		0	72	C5	5	106
14	14	39	1.0	0	0	3/4	1	1	1/4	1/4	1		1	79	G5	5	104
14	14	40	0.5	1/4	1/4	3/4	2	2	1/8	1/8	1		0	60	C4	4	111
14	14	40	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		4	64	E4	4	109
14	14	40	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1		-2	70	Bb4	4	107
14	14	40	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		1	79	G5	5	105
14	14	81/2	0.5	3/8	3/8	3/4	2	2	1/8	1/8	1		-2	58	Bb3	3	112
14	14	41	0.5	1/2	1/2	3/4	2	2	1/8	1/8	1		3	57	A3	3	113
14	14	83/2	0.5	5/8	5/8	3/4	2	2	1/8	1/8	1		1	55	G3	3	114
15	15	42	2.0	0	0	3/4	2	2	1/2	1/2	1		-1	53	F3	3	123
15	15	42	1.0	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	120
15	15	42	1.0	0	0	3/4	1	2	1/4	1/4	1		3	69	A4	4	117
