mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	3
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	2
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
2	2	1	0.5	0	0	4/4	2	2	1/8	1/8	1		0	60	C4	4	17
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	13
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	8
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	4
2	2	3/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	18
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	19
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	14
2	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	9
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	5
2	2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	10
2	2	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		1	55	G3	3	20
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	15
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	11
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6
2	2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	21
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	22
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	16
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	12
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	7
3	3	5	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	29
3	3	5	3.0	0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	27
3	3	5	3.0	0	0	4/4	1	2	3/4	1/2	3/2		6	66	F#4	4	25
3	3	5	3.0	0	0	4/4	1	1	3/4	1/2	3/2		2	74	D5	5	23
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	30
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	28
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	26
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	24
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	44
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	40
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	35
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	31
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	45
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	41
4	4	10	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	36
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	32
4	4	21/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	37
4	4	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	46
4	4	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	42
4	4	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	38
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	33
4	4	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	47
4	4	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	43
4	4	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	39
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	34
5	5	13	3.0	0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	54
5	5	13	3.0	0	0	4/4	2	1	3/4	1/2	3/2		2	62	D4	4	52
5	5	13	3.0	0	0	4/4	1	2	3/4	1/2	3/2		6	66	F#4	4	50
5	5	13	3.0	0	0	4/4	1	1	3/4	1/2	3/2		3	69	A4	4	48
5	5	16	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	55
5	5	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	53
5	5	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	51
5	5	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	49
6	6	17	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	68
6	6	17	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	64
6	6	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	60
