mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	2
1	1	0	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	0
1	1	1/2	1/2	0.5	1/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	4
2	2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	19
2	2	1	1	1.5	0	0	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	15
2	2	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	9
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	5
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	20
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	10
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	6
2	2	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		10	58	A#3	3	16
2	2	3	3	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		5	47	B2	2	21
2	2	3	3	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		5	59	B3	3	17
2	2	3	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		2	62	D4	4	11
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	7
2	2	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	22
2	2	7/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	12
2	2	4	4	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		8	44	G#2	2	23
2	2	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		5	71	B4	4	13
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	8
2	2	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	24
2	2	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	18
2	2	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	14
3	3	5	5	0.5	0	0	4/4	2	2	1/8	1/8	1		3	45	A2	2	42
3	3	5	5	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	36
3	3	5	5	0.5	0	0	4/4	1	2	1/8	1/8	1		8	68	G#4	4	29
3	3	5	5	1.5	0	0	4/4	1	1	3/8	1/4	3/2		7	73	C#5	5	25
3	3	11/2	11/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	43
3	3	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	37
3	3	11/2	11/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	30
3	3	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	44
3	3	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		8	56	G#3	3	38
3	3	6	6	0.25	1/4	1/4	4/4	1	2	1/16	1/16	1		-1	65	F4	4	31
3	3	25/4	25/4	0.25	5/16	5/16	4/4	1	2	1/16	1/16	1		9	63	D#4	4	32
3	3	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	39
3	3	13/2	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	33
3	3	13/2	13/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	26
3	3	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		6	42	F#2	2	45
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	40
3	3	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	34
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	27
3	3	8	8	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		6	54	F#3	3	46
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	41
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	35
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	28
3	3	17/2	17/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	47
4	4	9	9	0.5	0	0	4/4	2	2	1/8	1/8	1		2	50	D3	3	64
4	4	9	9	0.5	0	0	4/4	2	1	1/8	1/8	1		5	59	B3	3	60
4	4	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	53
4	4	9	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	48
4	4	19/2	19/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	65
4	4	19/2	19/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	61
4	4	10	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	66
4	4	10	10	2.0	1/4	1/4	4/4	2	1	1/2	1/2	1		1	55	G3	3	62
4	4	10	10	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		4	64	E4	4	54
4	4	10	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	49
4	4	21/2	21/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	55
4	4	11	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		10	46	A#2	2	67
4	4	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	56
4	4	11	11	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5	50
4	4	23/2	23/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	51
4	4	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	68
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		6	54	F#3	3	63
