mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	3/4	2	2	1/8	1/8	1		-1	53	F3	3	6
1	1	0	1.0	0	0	3/4	2	1	1/4	1/4	1		-1	65	F4	4	4
1	1	0	1.0	0	0	3/4	1	2	1/4	1/4	1		3	69	A4	4	2
1	1	0	1.0	0	0	3/4	1	1	1/4	1/4	1		0	72	C5	5	0
1	1	1/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		1	55	G3	3	7
1	1	1	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		3	57	A3	3	8
1	1	1	2.0	1/4	1/4	3/4	2	1	1/2	1/2	1		0	60	C4	4	5
1	1	1	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1	1	-1	65	F4	4	3
1	1	1	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		3	69	A4	4	1
1	1	2	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		-1	53	F3	3	9
2	2	3	2.0	0	0	3/4	2	2	1/2	1/2	1		0	48	C3	3	18
2	2	3	1.5	0	0	3/4	2	1	3/8	1/4	3/2		0	60	C4	4	15
2	2	3	1.0	0	0	3/4	1	2	1/4	1/4	1	-1	-1	65	F4	4	12
2	2	3	2.0	0	0	3/4	1	1	1/2	1/2	1		1	67	G4	4	10
2	2	4	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		4	64	E4	4	13
2	2	9/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		-2	58	Bb3	3	16
2	2	5	1.0	1/2	1/2	3/4	2	2	1/4	1/4	1		2	50	D3	3	19
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	17
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	F4	4	11
2	2	5	1.0	1/2	1/2	3/4	1	2	1/4	1/4	1		-1	65	F4	4	14
3	3	6	0.5	0	0	3/4	2	2	1/8	1/8	1		1	55	G3	3	31
3	3	6	2.0	0	0	3/4	2	1	1/2	1/2	1		-2	58	Bb3	3	27
3	3	6	1.0	0	0	3/4	1	2	1/4	1/4	1		2	62	D4	4	24
3	3	6	1.0	0	0	3/4	1	1	1/4	1/4	1		-2	70	Bb4	4	20
3	3	13/2	0.5	1/8	1/8	3/4	2	2	1/8	1/8	1		-1	53	F3	3	32
3	3	7	1.0	1/4	1/4	3/4	2	2	1/4	1/4	1		-3	51	Eb3	3	33
3	3	7	1.0	1/4	1/4	3/4	1	2	1/4	1/4	1		1	67	G4	4	25
3	3	7	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		0	72	C5	5	21
