mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	7.0	0	4/4	7/4	0					firstMeasure	2
2	2	7	4.0	0	4/4	1	0						3
3	3	11	4.0	0	4/4	1	0						4
4	4	15	5.0	0	4/4	5/4	0						5
5	625	20	2.0	0	4/4	1/2	0	620					6
6	626	22	2.0	0	4/4	1/2	1/2					end	1, 7
7	627	24	2.0	0	4/4	1/2	0						8
8	8	26	5.0	0	4/4	5/4	0	-620					9
9	9	31	4.0	0	4/4	1	0						10
10	10	35	5.0	0	4/4	5/4	0						11
11	11	40	4.0	0	4/4	1	0						12
12	12	44	5.0	0	4/4	5/4	0						13
13	13	49	4.0	0	4/4	1	0						14
14	14	53	4.0	0	4/4	1	0						15
15	15	57	4.0	0	4/4	1	0						16
16	16	61	4.0	0	4/4	1	0						17
17	17	65	4.0	0	4/4	1	0			end		lastMeasure	-1
