mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	1.0	1	3/4	1/4	1/2						firstMeasure	2
2	2	1	1	3.0	1	3/4	3/4	0							3
3	3	4	4	3.0	1	3/4	3/4	0							4
4	4	7	7	3.0	1	3/4	3/4	0							5
5	5	10	10	3.0	1	3/4	3/4	0							6
6	6	13	13	3.0	1	3/4	3/4	0							7
7	7	16	16	3.0	1	3/4	3/4	0							8
8	8	19	19	2.0	1	3/4	1/2	0						end	1, 9
9	9	21	21	1.0	1	3/4	1/4	1/2							10
10	10	22	22	3.0	1	3/4	3/4	0							11
11	11	25	25	3.0	1	3/4	3/4	0							12
12	12	28	28	3.0	1	3/4	3/4	0							13
13	13	31	31	3.0	1	3/4	3/4	0							14
14	14	34	34	3.0	1	3/4	3/4	0							15
15	15	37	37	3.0	1	3/4	3/4	0							16
16	16	40	40	3.0	1	3/4	3/4	0							17
17	17	43	43	3.0	1	3/4	3/4	0							18
18	18	46	46	3.0	1	3/4	3/4	0							19
19	19	49	49	3.0	1	3/4	3/4	0							20
20	20	52	52	3.0	1	3/4	3/4	0							21
21	21	55	55	3.0	1	3/4	3/4	0							22
22	22	58	58	3.0	1	3/4	3/4	0							23
23	23	61	61	2.0	1	3/4	1/2	0				end			24
24	1	63	63	1.0	3	4/4	1/4	3/4		-23					25
25	2	64	64	4.0	3	4/4	1	0							26
26	3	68	68	4.0	3	4/4	1	0							27
27	4	72	72	4.0	3	4/4	1	0							28
28	5	76	76	3.0	3	4/4	3/4	0						end	9, 29
29	6	79	79	1.0	3	4/4	1/4	3/4							30
30	7	80	80	4.0	3	4/4	1	0							31
31	8	84	84	4.0	3	4/4	1	0							32
32	9	88	88	4.0	3	4/4	1	0							33
33	10	92	92	4.0	3	4/4	1	0							34
34	11	96	96	4.0	3	4/4	1	0							35
35	12	100	100	4.0	3	4/4	1	0							36
36	13	104	104	4.0	3	4/4	1	0							37
37	14	108	108	4.0	3	4/4	1	0							38
38	15	112	112	3.0	3	4/4	3/4	0				end			39
39	1	115	115	1.0	1	4/4	1/4	3/4		-15					40
40	2	116	116	4.0	1	4/4	1	0							41
41	3	120	120	4.0	1	4/4	1	0							42
42	4	124	124	4.0	1	4/4	1	0							43
43	5	128	128	3.0	1	4/4	3/4	0						end	29, 44
44	6	131	131	1.0	1	4/4	1/4	3/4							45
45	7	132	132	4.0	1	4/4	1	0							46
46	8	136	136	4.0	1	4/4	1	0							47
47	9	140	140	4.0	1	4/4	1	0							48
48	10	144	144	4.0	1	4/4	1	0							49
49	11	148	148	4.0	1	4/4	1	0							50
50	12	152	152	3.0	1	4/4	3/4	0				end			51
51	1	155	155	1.0	4	4/4	1/4	3/4		-12					52
52	2	156	156	4.0	4	4/4	1	0							53
53	3	160	160	4.0	4	4/4	1	0							54
54	4	164	164	4.0	4	4/4	1	0							55
55	5	168	168	3.0	4	4/4	3/4	0						end	44, 56
56	6	171	171	1.0	4	4/4	1/4	3/4							57
57	7	172	172	4.0	4	4/4	1	0							58
58	8	176	176	4.0	4	4/4	1	0							59
59	9	180	180	4.0	4	4/4	1	0							60
60	10	184	184	4.0	4	4/4	1	0							61
61	11	188	188	4.0	4	4/4	1	0							62
62	12	192	192	3.0	4	4/4	3/4	0				end			63
63	1	195	195	1.0	1	4/4	1/4	3/4		-12					64
64	2	196	196	4.0	1	4/4	1	0							65
65	3	200	200	4.0	1	4/4	1	0							66
66	4	204	204	4.0	1	4/4	1	0							67
67	5	208	208	3.0	1	4/4	3/4	0						end	56, 68
68	6	211	211	1.0	1	4/4	1/4	3/4							69
69	7	212	212	4.0	1	4/4	1	0							70
70	8	216	216	4.0	1	4/4	1	0							71
71	9	220	220	4.0	1	4/4	1	0							72
72	10	224	224	4.0	1	4/4	1	0							73
73	11	228	228	4.0	1	4/4	1	0							74
74	12	232	232	4.0	1	4/4	1	0							75
75	13	236	236	4.0	1	4/4	1	0							76
76	14	240	240	4.0	1	4/4	1	0							77
77	15	244	244	4.0	1	4/4	1	0							78
78	16	248	248	4.0	1	4/4	1	0							79
79	17	252	252	4.0	1	4/4	1	0							80
80	18	256	256	4.0	1	4/4	1	0							81
81	19	260	260	3.0	1	4/4	3/4	0				end			82
82	1	263	263	1.0	3	3/4	1/4	1/2		-19					83
83	2	264	264	3.0	3	3/4	3/4	0							84
84	3	267	267	3.0	3	3/4	3/4	0							85
85	4	270	270	3.0	3	3/4	3/4	0							86
86	5	273	273	3.0	3	3/4	3/4	0							87
87	6	276	276	3.0	3	3/4	3/4	0							88
88	7	279	279	3.0	3	3/4	3/4	0							89
89	8	282	282	3.0	3	3/4	3/4	0							90
90	9	285	285	2.0	3	3/4	1/2	0						end	68, 91
91	10	287	287	1.0	3	3/4	1/4	1/2							92
92	11	288	288	3.0	3	3/4	3/4	0							93
93	12	291	291	3.0	3	3/4	3/4	0							94
94	13	294	294	3.0	3	3/4	3/4	0							95
95	14	297	297	3.0	3	3/4	3/4	0							96
96	15	300	300	3.0	3	3/4	3/4	0							97
97	16	303	303	3.0	3	3/4	3/4	0							98
98	17	306	306	3.0	3	3/4	3/4	0							99
99	18	309	309	3.0	3	3/4	3/4	0							100
100	19	312	312	3.0	3	3/4	3/4	0							101
101	20	315	315	3.0	3	3/4	3/4	0							102
102	21	318	318	3.0	3	3/4	3/4	0							103
103	22	321	321	3.0	3	3/4	3/4	0							104
104	23	324	324	3.0	3	3/4	3/4	0							105
105	24	327	327	3.0	3	3/4	3/4	0							106
106	25	330	330	3.0	3	3/4	3/4	0							107
107	26	333	333	3.0	3	3/4	3/4	0							108
108	27	336	336	3.0	3	3/4	3/4	0							109
109	28	339	339	3.0	3	3/4	3/4	0							110
110	29	342	342	3.0	3	3/4	3/4	0							111
111	30	345	345	3.0	3	3/4	3/4	0							112
112	31	348	348	3.0	3	3/4	3/4	0							113
113	32	351	351	3.0	3	3/4	3/4	0							114
114	33	354	354	3.0	3	3/4	3/4	0							115
115	34	357	357	3.0	3	3/4	3/4	0							116
116	35	360	360	3.0	3	3/4	3/4	0							117
117	36	363	363	3.0	3	3/4	3/4	0							118
118	37	366	366	3.0	3	3/4	3/4	0							119
119	38	369	369	3.0	3	3/4	3/4	0							120
120	39	372	372	2.0	3	3/4	1/2	0				end			121
121	1	374	374	1.0	-1	4/4	1/4	3/4		-39					122
122	2	375	375	4.0	-1	4/4	1	0							123
123	3	379	379	4.0	-1	4/4	1	0							124
124	4	383	383	4.0	-1	4/4	1	0							125
125	5	387	387	4.0	-1	4/4	1	0							126
126	6	391	391	4.0	-1	4/4	1	0							127
127	7	395	395	4.0	-1	4/4	1	0							128
128	8	399	399	4.0	-1	4/4	1	0							129
129	9	403	403	3.0	-1	4/4	3/4	0				end			130
130	1	406	406	4.0	-3	4/4	1	0		-9					131
131	2	410	410	4.0	-3	4/4	1	0							132
132	3	414	414	4.0	-3	4/4	1	0							133
133	4	418	418	4.0	-3	4/4	1	0							134
134	5	422	422	4.0	-3	4/4	1	0							135
135	6	426	426	4.0	-3	4/4	1	0							136
136	7	430	430	4.0	-3	4/4	1	0							137
137	8	434	434	4.0	-3	4/4	1	0							138
138	9	438	438	4.0	-3	4/4	1	0							139
139	10	442	442	4.0	-3	4/4	1	0							140
140	11	446	446	4.0	-3	4/4	1	0							141
141	12	450	450	4.0	-3	4/4	1	0							142
142	13	454	454	4.0	-3	4/4	1	0							143
143	14	458	458	4.0	-3	4/4	1	0							144
144	15	462	462	4.0	-3	4/4	1	0							145
145	16	466	466	4.0	-3	4/4	1	0							146
146	17	470	470	4.0	-3	4/4	1	0							147
147	18	474	474	4.0	-3	4/4	1	0							148
148	19	478	478	4.0	-3	4/4	1	0							149
149	20	482	482	4.0	-3	4/4	1	0				end			150
150	1	486	486	1.0	1	4/4	1/4	0		-20					151
151	2	487	487	4.0	1	4/4	1	0							152
152	3	491	491	4.0	1	4/4	1	0							153
153	4	495	495	4.0	1	4/4	1	0							154
154	5	499	499	3.0	1	4/4	3/4	0						end	91, 155
155	6	502	502	1.0	1	4/4	1/4	3/4							156
156	7	503	503	4.0	1	4/4	1	0							157
157	8	507	507	4.0	1	4/4	1	0							158
158	9	511	511	4.0	1	4/4	1	0							159
159	10	515	515	4.0	1	4/4	1	0							160
160	11	519	519	4.0	1	4/4	1	0							161
161	12	523	523	4.0	1	4/4	1	0							162
162	13	527	527	4.0	1	4/4	1	0							163
163	14	531	531	3.0	1	4/4	3/4	0				end			164
164	1	534	534	4.0	0	4/4	1	0		-14					165
165	2	538	538	4.0	0	4/4	1	0							166
166	3	542	542	4.0	0	4/4	1	0							167
167	4	546	546	4.0	0	4/4	1	0							168
168	5	550	550	4.0	0	4/4	1	0						end	155, 169
169	6	554	554	4.0	0	4/4	1	0							170
170	7	558	558	4.0	0	4/4	1	0							171
171	8	562	562	4.0	0	4/4	1	0							172
172	9	566	566	4.0	0	4/4	1	0							173
173	10	570	570	4.0	0	4/4	1	0							174
174	11	574	574	4.0	0	4/4	1	0							175
175	12	578	578	4.0	0	4/4	1	0							176
176	13	582	582	4.0	0	4/4	1	0				end			177
177	1	586	586	1.0	0	4/4	1/4	0		-13					178
178	2	587	587	4.0	0	4/4	1	0							179
179	3	591	591	4.0	0	4/4	1	0							180
180	4	595	595	4.0	0	4/4	1	0							181
181	5	599	599	4.0	0	4/4	1	0							182
182	6	603	603	4.0	0	4/4	1	0							183
183	7	607	607	4.0	0	4/4	1	0							184
184	8	611	611	4.0	0	4/4	1	0							185
185	9	615	615	3.0	0	4/4	3/4	0						end	169, 186
186	10	618	618	1.0	0	4/4	1/4	3/4							187
187	11	619	619	4.0	0	4/4	1	0							188
188	12	623	623	4.0	0	4/4	1	0							189
189	13	627	627	4.0	0	4/4	1	0							190
190	14	631	631	3.0	0	4/4	3/4	0				double			191
191	15	634	634	1.0	0	3/4	1/4	1/2							192
192	16	635	635	3.0	0	3/4	3/4	0							193
193	17	638	638	3.0	0	3/4	3/4	0							194
194	18	641	641	3.0	0	3/4	3/4	0							195
195	19	644	644	3.0	0	3/4	3/4	0							196
196	20	647	647	3.0	0	3/4	3/4	0							197
197	21	650	650	3.0	0	3/4	3/4	0							198
198	22	653	653	3.0	0	3/4	3/4	0							199
199	23	656	656	3.0	0	3/4	3/4	0							200
200	24	659	659	3.0	0	3/4	3/4	0							201
201	25	662	662	3.0	0	3/4	3/4	0							202
202	26	665	665	3.0	0	3/4	3/4	0							203
203	27	668	668	3.0	0	3/4	3/4	0							204
204	28	671	671	3.0	0	3/4	3/4	0							205
205	29	674	674	3.0	0	3/4	3/4	0							206
206	30	677	677	3.0	0	3/4	3/4	0							207
207	31	680	680	2.0	0	3/4	1/2	0				double			208
208	32	682	682	1.0	0	4/4	1/4	3/4							209
209	33	683	683	4.0	0	4/4	1	0							210
210	34	687	687	4.0	0	4/4	1	0							211
211	35	691	691	4.0	0	4/4	1	0							212
212	36	695	695	3.0	0	4/4	3/4	0				end			213
213	1	698	698	1.0	0	3/4	1/4	1/2		-36					214
214	2	699	699	3.0	0	3/4	3/4	0							215
215	3	702	702	3.0	0	3/4	3/4	0							216
216	4	705	705	3.0	0	3/4	3/4	0							217
217	5	708	708	3.0	0	3/4	3/4	0							218
218	6	711	711	3.0	0	3/4	3/4	0							219
219	7	714	714	3.0	0	3/4	3/4	0							220
220	8	717	717	3.0	0	3/4	3/4	0							221
