mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	1.0	0	4/4	1/4	3/4						firstMeasure	2
2	2	1	1	4.0	0	4/4	1	0							3
3	3	5	5	4.0	0	4/4	1	0							4
4	4	9	9	4.0	0	4/4	1	0							5
5	5	13	13	4.0	0	4/4	1	0							6
6	6	17	17	4.0	0	4/4	1	0							7
7	7	21	21	4.0	0	4/4	1	0							8
8	8	25	25	4.0	0	4/4	1	0							9
9	9	29	29	4.0	0	4/4	1	0							10
10	10	33	33	4.0	0	4/4	1	0							11
11	11	37	37	4.0	0	4/4	1	0							12
12	12	41	41	4.0	0	4/4	1	0							13
13	13	45	45	4.0	0	4/4	1	0							14
14	14	49	49	4.0	0	4/4	1	0							15
15	15	53	53	4.0	0	4/4	1	0							16
16	16	57	57	4.0	0	4/4	1	0							17
17	17	61	61	4.0	0	4/4	1	0							18
18	18	65	65	4.0	0	4/4	1	0							19
19	19	69	69	4.0	0	4/4	1	0							20
20	20	73	73	4.0	0	4/4	1	0							21
21	21	77	77	4.0	0	4/4	1	0							22
22	22	81	81	4.0	0	4/4	1	0							23
23	23	85	85	4.0	0	4/4	1	0							24
24	24	89	89	4.0	0	4/4	1	0							25
25	25	93	93	4.0	0	4/4	1	0							26
26	26	97	97	4.0	0	4/4	1	0				end			27
27	1	101	101	1.0	0	4/4	1/4	0		-26					28
28	2	102	102	4.0	0	4/4	1	0							29
29	3	106	106	4.0	0	4/4	1	0							30
30	4	110	110	4.0	0	4/4	1	0							31
31	5	114	114	4.0	0	4/4	1	0							32
32	6	118	118	4.0	0	4/4	1	0							33
33	7	122	122	4.0	0	4/4	1	0							34
34	8	126	126	4.0	0	4/4	1	0							35
35	9	130	130	4.0	0	4/4	1	0							36
36	10	134	134	4.0	0	4/4	1	0							37
37	11	138	138	4.0	0	4/4	1	0							38
38	12	142	142	3.0	0	4/4	3/4	0				end			39
39	1	145	145	3.0	0	3/4	3/4	0		-12					40
40	2	148	148	3.0	0	3/4	3/4	0							41
41	3	151	151	3.0	0	3/4	3/4	0							42
42	4	154	154	3.0	0	3/4	3/4	0							43
43	5	157	157	3.0	0	3/4	3/4	0							44
44	6	160	160	3.0	0	3/4	3/4	0							45
45	7	163	163	3.0	0	3/4	3/4	0							46
46	8	166	166	3.0	0	3/4	3/4	0						end	1, 47
47	9	169	169	3.0	0	3/4	3/4	0							48
48	10	172	172	3.0	0	3/4	3/4	0							49
49	11	175	175	3.0	0	3/4	3/4	0							50
50	12	178	178	3.0	0	3/4	3/4	0							51
51	13	181	181	3.0	0	3/4	3/4	0							52
