mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-2	4/4	1/4	3/4	-1				firstMeasure	2
2	1	1	2.0	-2	4/4	1/2	0						3
3	482	3	2.0	-2	4/4	1/2	1/2	480				start	4
4	3	5	4.0	-2	4/4	1	0	-480					5
5	4	9	4.0	-2	4/4	1	0						6
6	485	13	3.0	-2	4/4	3/4	0	480					7
7	486	16	1.0	-2	4/4	1/4	3/4						8
8	487	17	2.0	-2	4/4	1/2	0					end	3, 9
9	488	19	1.0	-2	4/4	1/4	3/4						10
10	9	20	4.0	-2	4/4	1	0	-480					11
11	10	24	4.0	-2	4/4	1	0						12
12	11	28	4.0	-2	4/4	1	0						13
13	12	32	4.0	-2	4/4	1	0						14
14	13	36	4.0	-2	4/4	1	0						15
15	14	40	4.0	-2	4/4	1	0						16
16	15	44	4.0	-2	4/4	1	0						17
17	16	48	3.0	-2	4/4	3/4	0			end		lastMeasure	-1
