fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus	staff_6_instrument	staff_6_ambitus	staff_7_instrument	staff_7_ambitus	staff_8_instrument	staff_8_ambitus
001	1: 3/4	1: 1	23	22	63.0	31	29	84.0		252.0	229	80	0	0	0	J. S. Bach	"Chorale 1:
Aus meines Herzens Grunde"		"Chorale 1:
Aus meines Herzens Grunde"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/001.mscz	False	42-74 (F#2-D5)	mxl	None	59-74 (B3-D5)	None	42-64 (F#2-E4)												
002	1: 4/4	1: 3	15	14	52.0	20	19	68.0		208.0	231	79	0	0	0	J. S. Bach	"Chorale 2:
Ich dank' dir, lieber Herre"		"Chorale 2:
Ich dank' dir, lieber Herre"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/002.mscz	False	40-76 (E2-E5)	mxl	None	59-76 (B3-E5)	None	40-66 (E2-F#4)												
003	1: 4/4	1: 1	12	11	40.0	17	16	56.0		159.5	195	64	0	0	0	J. S. Bach	"Chorale 3:
Ach Gott, vom Himmel sieh' darein"		"Chorale 3:
Ach Gott, vom Himmel sieh' darein"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/003.mscz	False	45-76 (A2-E5)	mxl	None	60-76 (C4-E5)	None	45-65 (A2-F4)												
004	1: 4/4	1: 4	12	11	40.0	17	16	56.0		160.0	186	61	0	0	0	J. S. Bach	"Chorale 4:
Es ist das Heil uns kommen her"		"Chorale 4:
Es ist das Heil uns kommen her"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/004.mscz	False	40-76 (E2-E5)	mxl	None	59-76 (B3-E5)	None	40-66 (E2-F#4)												
005	1: 4/4	1: 1	19	18	68.0	24	23	84.0		272.0	331	123	0	0	0	J. S. Bach	"Chorale 5:
An Wasserflüssen Babylon"		"Chorale 5:
An Wasserflüssen Babylon"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/005.mscz	False	40-76 (E2-E5)	mxl	None	54-76 (F#3-E5)	None	40-64 (E2-E4)												
006	1: 3/4	1: 3	39	38	111.0	48	47	135.0		444.0	346	111	0	0	0	J. S. Bach	"Chorale 6:
Nun lob', mein' Seel', den Herren"		"Chorale 6:
Nun lob', mein' Seel', den Herren"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/006.mscz	False	42-76 (F#2-E5)	mxl	None	59-76 (B3-E5)	None	42-68 (F#2-G#4)												
007	1: 4/4	1: -1	9	8	32.0	9	8	32.0		124.0	125	41	0	0	0	J. S. Bach	"Chorale 7:
Christus, der ist mein Leben"		"Chorale 7:
Christus, der ist mein Leben"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/007.mscz	False	41-77 (F2-F5)	mxl	None	60-77 (C4-F5)	None	41-65 (F2-F4)												
008	1: 4/4	1: -3	20	20	80.0	20	20	80.0		320.0	358	124	0	0	0	J. S. Bach	"Chorale 8:
Freuet euch, ihr Christen"		"Chorale 8:
Freuet euch, ihr Christen"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/008.mscz	False	41-77 (F2-F5)	mxl	None	60-77 (C4-F5)	None	41-67 (F2-G4)												
009	1: 4/4	1: 1	14	13	48.0	19	18	64.0		192.0	242	86	0	0	0	J. S. Bach	"Chorale 9:
Ermuntre dich, mein schwacher Geist"		"Chorale 9:
Ermuntre dich, mein schwacher Geist"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/009.mscz	False	38-79 (D2-G5)	mxl	None	62-79 (D4-G5)	None	38-67 (D2-G4)												
010	1: 4/4	1: 0	13	13	52.0	18	18	72.0		208.0	183	57	0	0	0	J. S. Bach	"Chorale 10:
Aus tiefer Not schrei' ich zu dir"		"Chorale 10:
Aus tiefer Not schrei' ich zu dir"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/010.mscz	False	38-74 (D2-D5)	mxl	None	59-74 (B3-D5)	None	38-67 (D2-G4)												
011	1: 4/4, 15: 3/4, 32: 4/4	1: 0	36	35	112.0	45	44	144.0		444.0	417	139	0	0	0	J. S. Bach	"Chorale 11:
Jesu, nun sei gepreiset"		"Chorale 11:
Jesu, nun sei gepreiset"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/011.mscz	False	43-77 (G2-F5)	mxl	None	62-77 (D4-F5)	None	43-67 (G2-G4)												
012	1: 3/4	1: 0	17	16	48.0	17	16	48.0		192.0	148	43	0	0	0	J. S. Bach	"Chorale 12:
Puer natus in Bethlehem"		"Chorale 12:
Puer natus in Bethlehem"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/012.mscz	False	45-74 (A2-D5)	mxl	None	62-74 (D4-D5)	None	45-64 (A2-E4)												
013	1: 4/4	1: 0	18	17	64.0	25	24	88.0		252.0	305	108	0	0	0	J. S. Bach	"Chorale 13:
Allein zu dir, Herr Jesu Christ"		"Chorale 13:
Allein zu dir, Herr Jesu Christ"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/013.mscz	False	38-77 (D2-F5)	mxl	None	60-77 (C4-F5)	None	38-65 (D2-F4)												
014	1: 4/4	1: 1	16	15	56.0	22	21	76.0		224.0	238	78	0	0	0	J. S. Bach	"Chorale 14:
O Herre Gott, dein göttlich Wort"		"Chorale 14:
O Herre Gott, dein göttlich Wort"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/014.mscz	False	40-74 (E2-D5)	mxl	None	57-74 (A3-D5)	None	40-64 (E2-E4)												
015	1: 4/4	1: 0	13	12	48.0	18	17	64.0		192.0	239	85	0	0	0	J. S. Bach	"Chorale 15:
Christ lag in Todesbanden"		"Chorale 15:
Christ lag in Todesbanden"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/015.mscz	False	38-76 (D2-E5)	mxl	None	57-76 (A3-E5)	None	38-65 (D2-F4)												
016	1: 4/4	1: 2	19	18	68.0	26	25	92.0		268.0	298	97	0	0	0	J. S. Bach	"Chorale 16:
Es woll' uns Gott genädig sein"		"Chorale 16:
Es woll' uns Gott genädig sein"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/016.mscz	False	42-78 (F#2-F#5)	mxl	None	59-78 (B3-F#5)	None	42-66 (F#2-F#4)												
017	1: 3/4	1: 1	18	18	54.0	18	18	54.0		216.0	176	57	0	0	0	J. S. Bach	"Chorale 17:
Erschienen ist der herrliche Tag"		"Chorale 17:
Erschienen ist der herrliche Tag"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/017.mscz	False	43-76 (G2-E5)	mxl	None	57-76 (A3-E5)	None	43-62 (G2-D4)												
018	1: 4/4	1: 1	13	13	52.0	13	13	52.0		208.0	201	70	0	0	0	J. S. Bach	"Chorale 18:
Gottes Sohn ist kommen"		"Chorale 18:
Gottes Sohn ist kommen"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/018.mscz	False	43-79 (G2-G5)	mxl	None	55-79 (G3-G5)	None	43-64 (G2-E4)												
019	1: 4/4	1: -1	10	9	36.0	10	9	36.0		143.0	181	66	0	0	0	J. S. Bach	"Chorale 19:
Ich hab' mein' Sach' Gott heimgestellt"		"Chorale 19:
Ich hab' mein' Sach' Gott heimgestellt"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/019.mscz	False	38-72 (D2-C5)	mxl	None	60-72 (C4-C5)	None	38-62 (D2-D4)												
020	1: 4/4	1: 2	14	13	48.0	19	18	64.0		192.0	236	80	0	0	0	J. S. Bach	"Chorale 20:
Ein' feste Burg ist unser Gott"		"Chorale 20:
Ein' feste Burg ist unser Gott"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/020.mscz	False	38-74 (D2-D5)	mxl	None	57-74 (A3-D5)	None	38-66 (D2-F#4)												
021	1: 4/4	1: 0	14	13	48.0	19	18	64.0		192.0	184	55	0	0	0	J. S. Bach	"Chorale 21:
Herzlich tut mich verlangen"		"Chorale 21:
Herzlich tut mich verlangen"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/021.mscz	False	43-74 (G2-D5)	mxl	None	59-74 (B3-D5)	None	43-64 (G2-E4)												
022	1: 4/4	1: -3	15	15	60.0	20	20	80.0		240.0	258	88	0	0	0	J. S. Bach	"Chorale 22:
Schmücke dich, o liebe Seele"		"Chorale 22:
Schmücke dich, o liebe Seele"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/022.mscz	False	39-75 (Eb2-Eb5)	mxl	None	58-75 (Bb3-Eb5)	None	39-65 (Eb2-F4)												
023	1: 4/4	1: 0	14	13	48.0	19	18	64.0		188.0	196	62	0	0	0	J. S. Bach	"Chorale 23:
Zeuch ein zu deinen Toren"		"Chorale 23:
Zeuch ein zu deinen Toren"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/023.mscz	False	43-76 (G2-E5)	mxl	None	57-76 (A3-E5)	None	43-65 (G2-F4)												
024	1: 4/4	1: 2	14	13	48.0	19	18	64.0		192.0	215	72	0	0	0	J. S. Bach	"Chorale 24:
Valet will ich dir geben"		"Chorale 24:
Valet will ich dir geben"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/024.mscz	False	38-78 (D2-F#5)	mxl	None	57-78 (A3-F#5)	None	38-69 (D2-A4)												
025	1: 4/4	1: -3	13	12	48.0	13	12	48.0		184.0	205	73	0	0	0	J. S. Bach	"Chorale 25:
Wo soll ich fliehen hin"		"Chorale 25:
Wo soll ich fliehen hin"						2023-06-21	Linux			4.0.2	1.2.10	Bach,_Johann_Sebastian/Chorales	Bach,_Johann_Sebastian/Chorales/025.mscz	False	41-75 (F2-Eb5)	mxl	None	60-75 (C4-Eb5)	None	41-65 (F2-F4)												
