mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	1.0	0	3/4	4/4	8	1	1/4	1/4	1		6	54	F#3	3	3
1	0	0	1.0	0	3/4	4/4	7	1	1/4	1/4	1		10	58	A#3	3	2
1	0	0	1.0	0	3/4	4/4	6	1	1/4	1/4	1		6	66	F#4	4	1
1	0	0	1.0	0	3/4	4/4	5	1	1/4	1/4	1		7	73	C#5	5	0
2	1	1	1.0	0	0	4/4	8	1	1/4	1/4	1		5	47	B2	2	19
2	1	1	1.0	0	0	4/4	7	1	1/4	1/4	1		5	59	B3	3	14
2	1	1	1.0	0	0	4/4	6	1	1/4	1/4	1		6	66	F#4	4	9
2	1	1	1.0	0	0	4/4	5	1	1/4	1/4	1		2	74	D5	5	4
2	1	2	1.0	1/4	1/4	4/4	8	1	1/4	1/4	1		6	54	F#3	3	20
2	1	2	1.0	1/4	1/4	4/4	7	1	1/4	1/4	1		10	58	A#3	3	15
2	1	2	0.5	1/4	1/4	4/4	6	1	1/8	1/8	1		6	66	F#4	4	10
2	1	2	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		7	73	C#5	5	5
2	1	5/2	0.5	3/8	3/8	4/4	6	1	1/8	1/8	1		4	64	E4	4	11
2	1	3	1.0	1/2	1/2	4/4	8	1	1/4	1/4	1		1	55	G3	3	21
2	1	3	1.0	1/2	1/2	4/4	7	1	1/4	1/4	1		5	59	B3	3	16
2	1	3	1.0	1/2	1/2	4/4	6	1	1/4	1/4	1		2	62	D4	4	12
2	1	3	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		5	71	B4	4	6
2	1	4	1.0	3/4	3/4	4/4	8	1	1/4	1/4	1		6	54	F#3	3	22
2	1	4	0.5	3/4	3/4	4/4	7	1	1/8	1/8	1		3	57	A3	3	17
2	1	4	1.0	3/4	3/4	4/4	6	1	1/4	1/4	1		3	69	A4	4	13
2	1	4	0.5	3/4	3/4	4/4	5	1	1/8	1/8	1		7	73	C#5	5	7
2	1	9/2	0.5	7/8	7/8	4/4	7	1	1/8	1/8	1		5	59	B3	3	18
2	1	9/2	0.5	7/8	7/8	4/4	5	1	1/8	1/8	1		2	74	D5	5	8
3	2	5	1.0	0	0	4/4	8	1	1/4	1/4	1		4	52	E3	3	48
3	2	5	1.0	0	0	4/4	7	1	1/4	1/4	1		7	61	C#4	4	43
3	2	5	1.0	0	0	4/4	6	1	1/4	1/4	1		1	67	G4	4	38
3	2	5	1.0	0	0	4/4	5	1	1/4	1/4	1		4	76	E5	5	34
3	2	6	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	31
3	2	6	1.0	1/4	1/4	4/4	8	1	1/4	1/4	1		2	50	D3	3	49
3	2	6	1.0	1/4	1/4	4/4	7	1	1/4	1/4	1		2	62	D4	4	44
3	2	6	0.5	1/4	1/4	4/4	6	1	1/8	1/8	1		6	66	F#4	4	39
3	2	6	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		2	74	D5	5	28
3	2	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	78	F#5	5	25
3	2	6	1.0	1/4	1/4	4/4	5	1	1/4	1/4	1		6	78	F#5	5	35
3	2	6	2.0	1/4	1/4	4/4	1	1	1/2	1/2	1		3	81	A5	5	23
3	2	13/2	0.5	3/8	3/8	4/4	6	1	1/8	1/8	1		8	68	G#4	4	40
3	2	7	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		3	45	A2	2	32
3	2	7	1.0	1/2	1/2	4/4	8	1	1/4	1/4	1		7	49	C#3	3	50
3	2	7	0.5	1/2	1/2	4/4	7	1	1/8	1/8	1		4	64	E4	4	45
3	2	7	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		3	69	A4	4	29
3	2	7	1.0	1/2	1/2	4/4	6	1	1/4	1/4	1		3	69	A4	4	41
3	2	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	76	E5	5	26
3	2	7	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		4	76	E5	5	36
3	2	15/2	0.5	5/8	5/8	4/4	7	1	1/8	1/8	1		6	66	F#4	4	46
3	2	8	1.0	3/4	3/4	4/4	8	1	1/4	1/4	1		5	47	B2	2	51
3	2	8	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		2	50	D3	3	33
3	2	8	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		2	62	D4	4	30
3	2	8	1.0	3/4	3/4	4/4	7	1	1/4	1/4	1		8	68	G#4	4	47
3	2	8	1.0	3/4	3/4	4/4	6	1	1/4	1/4	1		5	71	B4	4	42
3	2	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	74	D5	5	27
3	2	8	1.0	3/4	3/4	4/4	5	1	1/4	1/4	1		2	74	D5	5	37
3	2	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		8	80	G#5	5	24
4	3	9	2.0	0	0	4/4	4	1	1/2	1/2	1		3	45	A2	2	55
4	3	9	2.0	0	0	4/4	8	1	1/2	1/2	1		3	45	A2	2	62
4	3	9	2.0	0	0	4/4	7	1	1/2	1/2	1		7	61	C#4	4	60
4	3	9	2.0	0	0	4/4	6	1	1/2	1/2	1		4	64	E4	4	58
4	3	9	2.0	0	0	4/4	3	1	1/2	1/2	1		3	69	A4	4	54
4	3	9	2.0	0	0	4/4	5	1	1/2	1/2	1		7	73	C#5	5	56
4	3	9	2.0	0	0	4/4	2	1	1/2	1/2	1		4	76	E5	5	53
4	3	9	2.0	0	0	4/4	1	1	1/2	1/2	1		3	81	A5	5	52
4	3	12	1.0	3/4	3/4	4/4	8	1	1/4	1/4	1		10	46	A#2	2	63
4	3	12	1.0	3/4	3/4	4/4	7	1	1/4	1/4	1		7	61	C#4	4	61
4	3	12	1.0	3/4	3/4	4/4	6	1	1/4	1/4	1		6	66	F#4	4	59
4	3	12	1.0	3/4	3/4	4/4	5	1	1/4	1/4	1		4	76	E5	5	57
5	4	13	1.0	0	0	4/4	8	1	1/4	1/4	1		5	47	B2	2	79
5	4	13	0.5	0	0	4/4	7	1	1/8	1/8	1		5	59	B3	3	73
5	4	13	1.0	0	0	4/4	6	1	1/4	1/4	1		6	66	F#4	4	68
5	4	13	1.0	0	0	4/4	5	1	1/4	1/4	1		2	74	D5	5	64
5	4	27/2	0.5	1/8	1/8	4/4	7	1	1/8	1/8	1		3	57	A3	3	74
5	4	14	1.0	1/4	1/4	4/4	8	1	1/4	1/4	1		4	52	E3	3	80
5	4	14	1.0	1/4	1/4	4/4	7	1	1/4	1/4	1		1	55	G3	3	75
