mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	0	4/4	1/4	3/4					firstMeasure	2
2	2	1	4.0	0	4/4	1	0						3
3	3	5	4.0	0	4/4	1	0						4
4	4	9	4.0	0	4/4	1	0						5
5	5	13	4.0	0	4/4	1	0						6
6	6	17	4.0	0	4/4	1	0						7
7	7	21	4.0	0	4/4	1	0						8
8	8	25	4.0	0	4/4	1	0						9
9	9	29	3.0	0	4/4	3/4	0					end	1, 10
10	10	32	1.0	0	4/4	1/4	3/4						11
11	11	33	4.0	0	4/4	1	0						12
12	12	37	4.0	0	4/4	1	0						13
13	13	41	4.0	0	4/4	1	0						14
14	14	45	4.0	0	4/4	1	0						15
15	15	49	4.0	0	4/4	1	0						16
16	16	53	4.0	0	4/4	1	0						17
17	17	57	4.0	0	4/4	1	0			double			18
18	18	61	3.0	0	3/4	3/4	0						19
19	19	64	3.0	0	3/4	3/4	0						20
20	20	67	3.0	0	3/4	3/4	0						21
21	21	70	3.0	0	3/4	3/4	0						22
22	22	73	3.0	0	3/4	3/4	0						23
23	23	76	3.0	0	3/4	3/4	0						24
24	24	79	3.0	0	3/4	3/4	0						25
25	25	82	3.0	0	3/4	3/4	0						26
26	26	85	3.0	0	3/4	3/4	0						27
27	27	88	3.0	0	3/4	3/4	0						28
28	28	91	3.0	0	3/4	3/4	0						29
29	29	94	3.0	0	3/4	3/4	0						30
30	30	97	3.0	0	3/4	3/4	0						31
31	31	100	3.0	0	3/4	3/4	0						32
32	32	103	3.0	0	3/4	3/4	0					lastMeasure	-1
