mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.0	2	3/4	1/4	1/2					firstMeasure	2
2	2	1	3.0	2	3/4	3/4	0						3
3	3	4	3.0	2	3/4	3/4	0						4
4	4	7	3.0	2	3/4	3/4	0						5
5	5	10	3.0	2	3/4	3/4	0						6
6	6	13	3.0	2	3/4	3/4	0						7
7	7	16	3.0	2	3/4	3/4	0						8
8	8	19	3.0	2	3/4	3/4	0						9
9	9	22	3.0	2	3/4	3/4	0						10
10	10	25	3.0	2	3/4	3/4	0						11
11	11	28	3.0	2	3/4	3/4	0						12
12	12	31	3.0	2	3/4	3/4	0						13
13	13	34	3.0	2	3/4	3/4	0						14
14	14	37	3.0	2	3/4	3/4	0						15
15	15	40	3.0	2	3/4	3/4	0						16
16	16	43	3.0	2	3/4	3/4	0						17
17	17	46	2.0	2	3/4	1/2	0					lastMeasure	-1
