piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus
chor001	1: 3/4	1: 0	23	23	63.0	31	31	84.0	252.0	223	80	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor001.mscz	False	42-74 (F#2-D5)	xml	soprn	67-74 (G4-D5)	alto	59-69 (B3-A4)	tenor	54-64 (F#3-E4)	bass	42-55 (F#2-G3)
chor002	1: 4/4	1: 0	15	15	52.0	20	20	68.0	208.0	229	79	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor002.mscz	False	40-76 (E2-E5)	xml	soprn	64-76 (E4-E5)	alto	59-73 (B3-C#5)	tenor	52-68 (E3-G#4)	bass	40-61 (E2-C#4)
chor003	1: 4/4	1: 0	12	12	40.0	17	17	56.0	160.0	196	64	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor003.mscz	False	45-76 (A2-E5)	xml	soprn	64-76 (E4-E5)	alto	57-71 (A3-B4)	tenor	52-65 (E3-F4)	bass	45-60 (A2-C4)
chor004	1: 4/4	1: 0	12	12	40.0	17	17	56.0	160.0	185	61	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor004.mscz	False	40-76 (E2-E5)	xml	soprn	61-76 (C#4-E5)	alto	59-71 (B3-B4)	tenor	54-66 (F#3-F#4)	bass	40-61 (E2-C#4)
chor005	1: 4/4	1: 0	19	19	68.0	24	24	84.0	272.0	330	123	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor005.mscz	False	40-76 (E2-E5)	xml	soprn	62-76 (D4-E5)	alto	54-71 (F#3-B4)	tenor	52-64 (E3-E4)	bass	40-60 (E2-C4)
chor006	1: 4/4	1: 0	9	9	32.0	9	9	32.0	124.0	120	41	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor006.mscz	False	41-77 (F2-F5)	xml	soprn	65-77 (F4-F5)	alto	60-72 (C4-C5)	tenor	55-65 (G3-F4)	bass	41-57 (F2-A3)
chor007	1: 3/4	1: 0	39	39	111.0	48	48	135.0	444.0	346	111	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor007.mscz	False	42-76 (F#2-E5)	xml	soprn	64-76 (E4-E5)	alto	59-71 (B3-B4)	tenor	54-68 (F#3-G#4)	bass	42-59 (F#2-B3)
chor008	1: 4/4	1: 0	20	20	80.0	20	20	80.0	320.0	358	124	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor008.mscz	False	41-77 (F2-F5)	xml	soprn	65-77 (F4-F5)	alto	60-72 (C4-C5)	tenor	51-67 (Eb3-G4)	bass	41-60 (F2-C4)
chor009	1: 4/4	1: 0	14	14	48.0	19	19	64.0	192.0	238	87	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor009.mscz	False	38-79 (D2-G5)	xml	soprn	67-79 (G4-G5)	alto	62-71 (D4-B4)	tenor	52-67 (E3-G4)	bass	38-62 (D2-D4)
chor010	1: 4/4	1: 0	13	13	52.0	18	18	72.0	208.0	181	56	0	0	0										2023-09-21	Linux			4.1.1	2.2.2.post1.dev46+gdbec962	musicxml	musicxml/chor010.mscz	False	40-74 (E2-D5)	xml	soprn	64-74 (E4-D5)	alto	59-72 (B3-C5)	tenor	54-67 (F#3-G4)	bass	40-60 (E2-C4)
