mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	4	1	1/4	1/4	1		4	40	E2	2	5
1	1	0	0	0.5	0	3/4	4/4	3	1	1/8	1/8	1		1	55	G3	3	3
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	2
1	1	0	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	0
1	1	1/2	1/2	0.5	1/8	7/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	4
1	1	1/2	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	1
2	2	1	1	1.0	0	0	4/4	4	1	1/4	1/4	1		4	52	E3	3	17
2	2	1	1	1.0	0	0	4/4	3	1	1/4	1/4	1		5	59	B3	3	14
2	2	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	10
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	2	2	2	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		4	52	E3	3	18
2	2	2	2	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		5	59	B3	3	15
2	2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	11
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	7
2	2	5/2	5/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	19
2	2	3	3	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		7	49	C#3	3	20
2	2	3	3	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		3	57	A3	3	16
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	12
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	8
2	2	4	4	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		9	51	D#3	3	21
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1	1	6	66	F#4	4	13
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1	1	5	71	B4	4	9
3	3	5	5	0.5	0	0	4/4	4	1	1/8	1/8	1		4	52	E3	3	35
3	3	5	5	0.5	0	0	4/4	3	1	1/8	1/8	1		1	55	G3	3	30
3	3	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1	-1	6	66	F#4	4	26
3	3	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1	-1	5	71	B4	4	22
3	3	11/2	11/2	0.5	1/8	1/8	4/4	4	1	1/8	1/8	1		6	54	F#3	3	36
3	3	11/2	11/2	0.5	1/8	1/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	31
3	3	6	6	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		1	55	G3	3	37
3	3	6	6	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		5	59	B3	3	32
3	3	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	23
3	3	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	27
3	3	7	7	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		6	54	F#3	3	38
3	3	7	7	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		3	57	A3	3	33
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	63	D#4	4	28
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	24
3	3	8	8	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		4	52	E3	3	39
3	3	8	8	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		5	59	B3	3	34
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	29
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	25
4	4	9	9	3.0	0	0	4/4	4	1	3/4	1/2	3/2		5	47	B2	2	46
4	4	9	9	3.0	0	0	4/4	3	1	3/4	1/2	3/2		5	59	B3	3	44
